candidate,protocol,reacquisition_triggers,bonus_triggers,gt_matched,class_correct,correct_recovery,false_recovery,correct_recovery_ratio,false_recovery_ratio,bonus_gt_precision,bonus_improved_gt_vs_b0,mean_center_distance,mean_velocity_error
b0,clean,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
b0,camera_crash_5,12,0,6,6,6,6,0.5,0.5,0.0,0,2.0371548708013423,0.24548616810829602
b0,camera_crash_10,38,0,20,20,20,18,0.5263157894736842,0.4736842105263158,0.0,0,3.4085204940929708,0.3077292113236585
b0,compound,43,0,20,19,19,24,0.4418604651162791,0.5581395348837209,0.0,0,4.013586444601183,0.35037545431266276
b4_zero,clean,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
b4_zero,camera_crash_5,12,3,6,6,6,6,0.5,0.5,0.6666666666666666,0,2.0371548708013423,0.24548616810829602
b4_zero,camera_crash_10,38,10,20,20,20,18,0.5263157894736842,0.4736842105263158,1.0,0,3.4085204940929708,0.3077292113236585
b4_zero,compound,43,10,20,19,19,24,0.4418604651162791,0.5581395348837209,1.0,0,4.013586444601183,0.35037545431266276
b6_zero,clean,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
b6_zero,camera_crash_5,12,0,6,6,6,6,0.5,0.5,0.0,0,2.0397051078828654,0.24558120984180445
b6_zero,camera_crash_10,38,0,20,20,20,18,0.5263157894736842,0.4736842105263158,0.0,0,3.392722487160876,0.2921648590051969
b6_zero,compound,43,0,20,19,19,24,0.4418604651162791,0.5581395348837209,0.0,0,4.018793586333945,0.3477516519786591
b4_50iter,clean,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
b4_50iter,camera_crash_5,12,3,6,6,6,6,0.5,0.5,0.6666666666666666,0,2.041704846669903,0.24255959061151336
b4_50iter,camera_crash_10,37,10,19,19,19,18,0.5135135135135135,0.4864864864864865,1.0,0,2.7648969573957793,0.2953630741537922
b4_50iter,compound,43,10,21,20,20,23,0.46511627906976744,0.5348837209302326,1.0,0,4.025222506099737,0.38899673163675946
b6_50iter,clean,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
b6_50iter,camera_crash_5,12,0,6,6,6,6,0.5,0.5,0.0,0,2.0427844425060977,0.24317454263939695
b6_50iter,camera_crash_10,38,0,19,19,19,19,0.5,0.5,0.0,0,2.9709535795642843,0.28422419831636414
b6_50iter,compound,44,0,21,20,20,24,0.45454545454545453,0.5454545454545454,0.0,0,4.0180528501830395,0.38629188218287736
