candidate,protocol,triggers,memory_writes,false_recoveries,false_recovery_writes,false_recovery_write_ratio,polluting_writes,memory_pollution_ratio,mean_pollution_duration
b0,clean,0,0,0,0,0.0,0,0.0,0.0
b0,camera_crash_5,12,10,6,4,0.6666666666666666,1,0.25,0.25
b0,camera_crash_10,38,31,18,13,0.7222222222222222,7,0.5384615384615384,2.3846153846153846
b0,compound,43,34,24,15,0.625,8,0.5333333333333333,2.466666666666667
b4_zero,clean,0,0,0,0,0.0,0,0.0,0.0
b4_zero,camera_crash_5,12,10,6,4,0.6666666666666666,1,0.25,0.25
b4_zero,camera_crash_10,38,31,18,13,0.7222222222222222,7,0.5384615384615384,2.3846153846153846
b4_zero,compound,43,34,24,15,0.625,8,0.5333333333333333,2.466666666666667
b6_zero,clean,0,0,0,0,0.0,0,0.0,0.0
b6_zero,camera_crash_5,12,10,6,4,0.6666666666666666,1,0.25,0.25
b6_zero,camera_crash_10,38,31,18,13,0.7222222222222222,7,0.5384615384615384,2.6923076923076925
b6_zero,compound,43,34,24,15,0.625,8,0.5333333333333333,2.6666666666666665
b4_50iter,clean,0,0,0,0,0.0,0,0.0,0.0
b4_50iter,camera_crash_5,12,10,6,4,0.6666666666666666,1,0.25,0.25
b4_50iter,camera_crash_10,37,32,18,14,0.7777777777777778,7,0.5,2.5
b4_50iter,compound,43,33,23,14,0.6086956521739131,6,0.42857142857142855,2.142857142857143
b6_50iter,clean,0,0,0,0,0.0,0,0.0,0.0
b6_50iter,camera_crash_5,12,10,6,4,0.6666666666666666,1,0.25,0.25
b6_50iter,camera_crash_10,38,33,19,15,0.7894736842105263,7,0.4666666666666667,2.3333333333333335
b6_50iter,compound,44,34,24,15,0.625,6,0.4,2.0
