candidate,protocol,mAP,NDS
b0,clean,0.4248,0.477
b0,camera_crash_5,0.4183,0.473
b0,camera_crash_10,0.411,0.4707
b0,compound,0.3924,0.4573
b4_zero,clean,0.4248,0.477
b4_zero,camera_crash_5,0.4183,0.473
b4_zero,camera_crash_10,0.4121,0.4713
b4_zero,compound,0.3911,0.457
b6_zero,clean,0.424,0.4764
b6_zero,camera_crash_5,0.4181,0.4729
b6_zero,camera_crash_10,0.4133,0.4717
b6_zero,compound,0.3896,0.4551
b4_50iter,clean,0.4255,0.4772
b4_50iter,camera_crash_5,0.4191,0.4725
b4_50iter,camera_crash_10,0.412,0.471
b4_50iter,compound,0.3893,0.4549
b6_50iter,clean,0.4266,0.4778
b6_50iter,camera_crash_5,0.4192,0.4721
b6_50iter,camera_crash_10,0.4098,0.4697
b6_50iter,compound,0.3885,0.4546
b0,fault_mean,0.40723333333333334,0.467
b4_zero,fault_mean,0.4071666666666667,0.4671
b6_zero,fault_mean,0.40700000000000003,0.46656666666666663
b4_50iter,fault_mean,0.4068,0.46613333333333334
b6_50iter,fault_mean,0.4058333333333333,0.46546666666666664
