candidate,protocol,phase,frames,fault_matched_gt,b0_matched_gt,delta_matched_gt_vs_b0,mean_clean_retention,cases,recovered_cases,mean_recovery_delay,max_recovery_delay
b0,camera_crash_5,pre_fault,6,170,170,0,1.0,,,,
b0,camera_crash_5,active_fault,10,379,379,0,0.9661996433798761,,,,
b0,camera_crash_5,post_fault,65,2797,2797,0,0.9889964310737956,,,,
b0,camera_crash_10,pre_fault,6,170,170,0,1.0,,,,
b0,camera_crash_10,active_fault,20,832,832,0,0.9352747491779316,,,,
b0,camera_crash_10,post_fault,55,2332,2332,0,0.9895294491591262,,,,
b0,compound,pre_fault,6,170,170,0,1.0,,,,
b0,compound,active_fault,20,785,785,0,0.8833495367188998,,,,
b0,compound,post_fault,55,2321,2321,0,0.9869394185274653,,,,
b0,fault_all,w2_t100,,,,,,6,6,7.833333333333333,14
b4_zero,camera_crash_5,pre_fault,6,170,170,0,1.0,,,,
b4_zero,camera_crash_5,active_fault,10,379,379,0,0.9661996433798761,,,,
b4_zero,camera_crash_5,post_fault,65,2797,2797,0,0.9889964310737956,,,,
b4_zero,camera_crash_10,pre_fault,6,170,170,0,1.0,,,,
b4_zero,camera_crash_10,active_fault,20,832,832,0,0.9352747491779316,,,,
b4_zero,camera_crash_10,post_fault,55,2331,2332,-1,0.9890743351674269,,,,
b4_zero,compound,pre_fault,6,170,170,0,1.0,,,,
b4_zero,compound,active_fault,20,785,785,0,0.8833495367188998,,,,
b4_zero,compound,post_fault,55,2321,2321,0,0.9869394185274653,,,,
b4_zero,fault_all,w2_t100,,,,,,6,6,7.833333333333333,14
b6_zero,camera_crash_5,pre_fault,6,170,170,0,1.0,,,,
b6_zero,camera_crash_5,active_fault,10,379,379,0,0.9638220943042137,,,,
b6_zero,camera_crash_5,post_fault,65,2795,2797,-2,0.9907948926439725,,,,
b6_zero,camera_crash_10,pre_fault,6,170,170,0,1.0,,,,
b6_zero,camera_crash_10,active_fault,20,835,832,3,0.938533859139197,,,,
b6_zero,camera_crash_10,post_fault,55,2333,2332,1,0.9898065405995613,,,,
b6_zero,compound,pre_fault,6,170,170,0,1.0,,,,
b6_zero,compound,active_fault,20,785,785,0,0.8810121240743627,,,,
b6_zero,compound,post_fault,55,2322,2321,1,0.988606658462017,,,,
b6_zero,fault_all,w2_t100,,,,,,6,6,6.5,10
b4_50iter,camera_crash_5,pre_fault,6,170,170,0,1.0,,,,
b4_50iter,camera_crash_5,active_fault,10,378,379,-1,0.9661476756995626,,,,
b4_50iter,camera_crash_5,post_fault,65,2798,2797,1,0.9914377876207425,,,,
b4_50iter,camera_crash_10,pre_fault,6,170,170,0,1.0,,,,
b4_50iter,camera_crash_10,active_fault,20,832,832,0,0.9376199619049203,,,,
b4_50iter,camera_crash_10,post_fault,55,2328,2332,-4,0.9902142973670246,,,,
b4_50iter,compound,pre_fault,6,170,170,0,1.0,,,,
b4_50iter,compound,active_fault,20,786,785,1,0.8840500957343572,,,,
b4_50iter,compound,post_fault,55,2323,2321,2,0.9871661522685233,,,,
b4_50iter,fault_all,w2_t100,,,,,,6,6,5.666666666666667,8
b6_50iter,camera_crash_5,pre_fault,6,170,170,0,1.0,,,,
b6_50iter,camera_crash_5,active_fault,10,378,379,-1,0.9663370696389565,,,,
b6_50iter,camera_crash_5,post_fault,65,2805,2797,8,0.9923391198504908,,,,
b6_50iter,camera_crash_10,pre_fault,6,170,170,0,1.0,,,,
b6_50iter,camera_crash_10,active_fault,20,830,832,-2,0.9365156766036625,,,,
b6_50iter,camera_crash_10,post_fault,55,2332,2332,0,0.9897159840395287,,,,
b6_50iter,compound,pre_fault,6,170,170,0,1.0,,,,
b6_50iter,compound,active_fault,20,786,785,1,0.8846861831152208,,,,
b6_50iter,compound,post_fault,55,2318,2321,-3,0.984617043242904,,,,
b6_50iter,fault_all,w2_t100,,,,,,6,6,7.166666666666667,11
