candidate,protocol,reacquisition_triggers,positive_source_gate,zero_source_gate,source_gate_mean,positive_budget,positive_bonus,coverage_ratio
b0,clean,0,0,0,0.0,0,0,0.0
b0,camera_crash_5,12,0,12,7.954014112142389e-11,6,0,0.0
b0,camera_crash_10,38,11,27,3.799369882004924e-05,21,0,0.0
b0,compound,43,12,31,2.9874569330231765e-05,22,0,0.0
b4_zero,clean,0,0,0,0.0,0,0,0.0
b4_zero,camera_crash_5,12,12,0,1.0,6,3,0.25
b4_zero,camera_crash_10,38,38,0,1.0,21,10,0.2631578947368421
b4_zero,compound,43,43,0,1.0,22,10,0.23255813953488372
b6_zero,clean,0,0,0,0.0,0,0,0.0
b6_zero,camera_crash_5,12,0,12,7.952468078618245e-11,6,0,0.0
b6_zero,camera_crash_10,38,11,27,3.803290580443359e-05,21,0,0.0
b6_zero,compound,43,12,31,3.0374171063816284e-05,22,0,0.0
b4_50iter,clean,0,0,0,0.0,0,0,0.0
b4_50iter,camera_crash_5,12,12,0,1.0,6,3,0.25
b4_50iter,camera_crash_10,37,37,0,1.0,21,10,0.2702702702702703
b4_50iter,compound,43,43,0,1.0,21,10,0.23255813953488372
b6_50iter,clean,0,0,0,0.0,0,0,0.0
b6_50iter,camera_crash_5,12,0,12,7.716675209628607e-11,6,0,0.0
b6_50iter,camera_crash_10,38,10,28,3.687381199332798e-05,20,0,0.0
b6_50iter,compound,44,11,33,2.1005328457662307e-05,21,0,0.0
b1_historical_source_gated,camera_crash_5,12,0,12,7.954014112142389e-11,6,0,0.0
b1_historical_source_gated,camera_crash_10,38,11,27,3.799369882004924e-05,21,0,0.0
b1_historical_source_gated,compound,43,12,31,2.9874569330231765e-05,22,0,0.0
b2_historical_source_gated,camera_crash_5,12,0,12,7.954014112142389e-11,6,0,0.0
b2_historical_source_gated,camera_crash_10,38,11,27,3.799369882004924e-05,21,0,0.0
b2_historical_source_gated,compound,43,12,31,2.9874569330231765e-05,22,0,0.0
b3_historical_source_gated,camera_crash_5,12,0,12,7.954014112142389e-11,6,0,0.0
b3_historical_source_gated,camera_crash_10,38,11,27,3.799369882004924e-05,21,0,0.0
b3_historical_source_gated,compound,43,12,31,2.9874569330231765e-05,22,0,0.0
b5_historical_source_gated,camera_crash_5,12,0,12,7.954014112142389e-11,6,0,0.0
b5_historical_source_gated,camera_crash_10,38,11,27,3.799369882004924e-05,21,0,0.0
b5_historical_source_gated,compound,43,12,31,2.9874569330231765e-05,22,0,0.0
