deduplicated_event_id,protocol,scene_token,sample_token,identity,query_source,timestamp,candidate_count,candidates,r2_a_zero,r2_b_zero,r2_a_50iter,r2_b_50iter
1,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,32beeedcb9c44706802f47214e2c1d8f,propagated,1538984240.448,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
2,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,50f20841589c4a7da2f67c96e2a6b25e,propagated,1538984240.448,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
3,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,a146d0e0204643deb471d728e0243ddc,propagated,1538984240.448,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
4,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,"car:[733.0941772460938, 1809.73291015625, 1.3233369588851929]",base,1538984240.448,2,r2_a_zero|r2_b_zero,True,True,False,False
5,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,"car:[733.3480834960938, 1814.51611328125, 1.4475148916244507]",base,1538984240.448,2,r2_a_zero|r2_b_zero,True,True,False,False
6,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,"car:[733.4121704101562, 1809.8033447265625, 1.2326544523239136]",base,1538984240.448,2,r2_a_50iter|r2_b_50iter,False,False,True,True
7,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,"car:[733.747802734375, 1814.19921875, 1.4388891458511353]",base,1538984240.448,2,r2_a_50iter|r2_b_50iter,False,False,True,True
8,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,0b4e0eb8ab06454d8904248794faa095,propagated,1538984239.948,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
9,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,26ae4a920a9c4457909454cd8a84c959,propagated,1538984239.948,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
10,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,293abeb43b2a439abcd4ff08b981eeb9,propagated,1538984239.948,4,r2_a_50iter|r2_a_zero|r2_b_50iter|r2_b_zero,True,True,True,True
11,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,"bicycle:[732.8357543945312, 1813.25341796875, 0.42016589641571045]",propagated,1538984239.948,2,r2_a_50iter|r2_b_50iter,False,False,True,True
12,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,"bicycle:[732.8394165039062, 1813.2576904296875, 0.4284297227859497]",propagated,1538984239.948,2,r2_a_zero|r2_b_zero,True,True,False,False
13,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,"car:[732.95166015625, 1815.0274658203125, 0.3637346029281616]",propagated,1538984239.948,2,r2_a_50iter|r2_b_50iter,False,False,True,True
14,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,"car:[732.9566650390625, 1815.0250244140625, 0.37184321880340576]",propagated,1538984239.948,2,r2_a_zero|r2_b_zero,True,True,False,False
15,camera_crash_10,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,"pedestrian:[729.02099609375, 1794.8804931640625, 1.8110531568527222]",propagated,1538984241.448,1,r2_a_50iter,False,False,True,False
16,camera_crash_10,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,"pedestrian:[729.0228271484375, 1794.882568359375, 1.8110787868499756]",propagated,1538984241.448,1,r2_a_zero,True,False,False,False
17,camera_crash_10,325cef682f064c55a255f2625c533b75,b1303058fa624645b753d7283d70de45,"pedestrian:[729.2565307617188, 1795.9754638671875, 1.7327864170074463]",propagated,1538984240.948,1,r2_a_zero,True,False,False,False
18,camera_crash_10,325cef682f064c55a255f2625c533b75,b1303058fa624645b753d7283d70de45,"pedestrian:[729.2579345703125, 1795.980224609375, 1.7307372093200684]",propagated,1538984240.948,1,r2_a_50iter,False,False,True,False
19,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,26bff5d4630648b1b6098b9686ceb66d,propagated,1533151611.447,2,r2_a_50iter|r2_a_zero,True,False,True,False
20,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,76d8cb46cc974417a48dbe0dd2475072,propagated,1533151611.447,1,r2_a_zero,True,False,False,False
21,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,7f45ead871644fb4bb1c5122472a74ac,propagated,1533151611.447,1,r2_a_50iter,False,False,True,False
22,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,"pedestrian:[637.43408203125, 1643.225830078125, 0.95503830909729]",propagated,1533151611.447,1,r2_a_zero,True,False,False,False
23,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,"pedestrian:[637.4423217773438, 1643.2174072265625, 0.9551466703414917]",propagated,1533151611.447,1,r2_a_50iter,False,False,True,False
24,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,5b661c6079224ec1ab4d5f5ca9b47b1e,base,1533151610.947,2,r2_a_50iter|r2_a_zero,True,False,True,False
25,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,8db6abbc78394cb3aea7ee03fb8f47b8,propagated,1533151610.947,1,r2_a_50iter,False,False,True,False
26,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,a99ef7b74b354895aa2c60a68b33e333,propagated,1533151610.947,2,r2_a_50iter|r2_a_zero,True,False,True,False
27,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,f2924215f98a4e8b82d61823f687548a,propagated,1533151610.947,1,r2_a_zero,True,False,False,False
28,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,"pedestrian:[626.0098266601562, 1617.843505859375, 1.1016905307769775]",base,1533151610.947,1,r2_a_50iter,False,False,True,False
29,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,"pedestrian:[630.0494384765625, 1643.5301513671875, 1.5073126554489136]",base,1533151610.947,1,r2_a_50iter,False,False,True,False
30,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,"pedestrian:[630.0504760742188, 1643.521240234375, 1.5055216550827026]",base,1533151610.947,1,r2_a_zero,True,False,False,False
31,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,"pedestrian:[633.7227172851562, 1647.1759033203125, 0.9716696739196777]",base,1533151610.947,1,r2_a_50iter,False,False,True,False
