candidate,protocol,trigger_records,candidate_events,candidate_tp,candidate_fp,candidate_false_recovery_ratio,pending_events,confirmed_events,rejected_events,expired_events,gt_matched,gt_unmatched,class_correct,tp,fp,false_recovery_ratio,confirmed_tp,confirmed_fp,confirmed_precision,confirmed_new_gt_matches_vs_b0,false_confirmed_ratio,mean_center_distance,mean_velocity_error
r2_a_zero,clean,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
r2_a_zero,camera_crash_5,26,12,6,6,0.5,14,0,12,0,11,15,10,10,16,0.6153846153846154,0,0,0.0,0,0.0,2.3885666630830973,0.28257553197685187
r2_a_zero,camera_crash_10,87,38,20,18,0.47368421052631576,52,0,35,3,45,42,45,45,42,0.4827586206896552,0,0,0.0,0,0.0,3.415829046497803,0.3701483248492856
r2_a_zero,compound,97,43,19,24,0.5581395348837209,56,0,41,2,43,54,40,40,57,0.5876288659793815,0,0,0.0,0,0.0,4.0783540753596235,0.47641915327078216
r2_b_zero,clean,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
r2_b_zero,camera_crash_5,24,12,6,6,0.5,12,0,12,0,11,13,10,10,14,0.5833333333333334,0,0,0.0,0,0.0,2.4078532443260223,0.28257553197685187
r2_b_zero,camera_crash_10,76,38,20,18,0.47368421052631576,40,2,36,0,40,36,40,40,36,0.47368421052631576,2,0,1.0,0,0.0,3.4602166528947707,0.3868841243369341
r2_b_zero,compound,86,43,19,24,0.5581395348837209,45,2,41,0,37,49,35,35,51,0.5930232558139535,2,0,1.0,0,0.0,4.182424630645768,0.5107867000967314
r2_a_50iter,clean,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
r2_a_50iter,camera_crash_5,26,12,6,6,0.5,14,0,12,0,11,15,10,10,16,0.6153846153846154,0,0,0.0,0,0.0,2.3911364357301315,0.2829044822131816
r2_a_50iter,camera_crash_10,86,37,19,18,0.4864864864864865,52,0,34,3,44,42,44,44,42,0.4883720930232558,0,0,0.0,0,0.0,2.455590602964379,0.3929803151050455
r2_a_50iter,compound,99,43,20,23,0.5348837209302325,60,0,39,4,45,54,43,43,56,0.5656565656565656,0,0,0.0,0,0.0,4.0062957392826375,0.4775535499658799
r2_b_50iter,clean,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
r2_b_50iter,camera_crash_5,24,12,6,6,0.5,12,0,12,0,11,13,10,10,14,0.5833333333333334,0,0,0.0,0,0.0,2.4107508871043524,0.2829044822131816
r2_b_50iter,camera_crash_10,74,37,19,18,0.4864864864864865,40,3,34,0,39,35,39,39,35,0.47297297297297297,3,0,1.0,0,0.0,2.3510855710814313,0.380798762400824
r2_b_50iter,compound,86,43,20,23,0.5348837209302325,45,2,41,0,39,47,37,37,49,0.5697674418604651,2,0,1.0,0,0.0,4.098706826119979,0.5123044926063587
