candidate,protocol,interval,frames,matched_gt,b0_matched_gt,delta_matched_gt_vs_b0,mean_clean_retention
r2_a_zero,camera_crash_5,pre_fault,6,170,170,0,1.0
r2_a_zero,camera_crash_5,in_fault,10,379,379,0,0.9661996433798761
r2_a_zero,camera_crash_5,first_recovery,2,93,93,0,0.9577526132404182
r2_a_zero,camera_crash_5,post_fault,65,2793,2797,-4,0.9871744082891099
r2_a_zero,camera_crash_5,recovery_after_1,2,93,93,0,0.9577526132404182
r2_a_zero,camera_crash_5,recovery_after_3,6,289,292,-3,0.9623970116253008
r2_a_zero,camera_crash_5,recovery_after_5,10,473,478,-5,0.9609439469215983
r2_a_zero,camera_crash_10,pre_fault,6,170,170,0,1.0
r2_a_zero,camera_crash_10,in_fault,20,832,832,0,0.9352747491779316
r2_a_zero,camera_crash_10,first_recovery,2,93,93,0,0.9765151515151516
r2_a_zero,camera_crash_10,post_fault,55,2327,2332,-5,0.9888778785204055
r2_a_zero,camera_crash_10,recovery_after_1,2,93,93,0,0.9765151515151516
r2_a_zero,camera_crash_10,recovery_after_3,6,268,270,-2,0.9723737257470101
r2_a_zero,camera_crash_10,recovery_after_5,10,452,455,-3,0.9719500373528369
r2_a_zero,compound,pre_fault,6,170,170,0,1.0
r2_a_zero,compound,in_fault,20,785,785,0,0.8833495367188998
r2_a_zero,compound,first_recovery,2,90,90,0,0.9462121212121212
r2_a_zero,compound,post_fault,55,2317,2321,-4,0.9856007797038714
r2_a_zero,compound,recovery_after_1,2,90,90,0,0.9462121212121212
r2_a_zero,compound,recovery_after_3,6,264,264,0,0.9490676599961225
r2_a_zero,compound,recovery_after_5,10,445,447,-2,0.9596613131565418
r2_b_zero,camera_crash_5,pre_fault,6,170,170,0,1.0
r2_b_zero,camera_crash_5,in_fault,10,379,379,0,0.9661996433798761
r2_b_zero,camera_crash_5,first_recovery,2,93,93,0,0.9577526132404182
r2_b_zero,camera_crash_5,post_fault,65,2791,2797,-6,0.9867540413046514
r2_b_zero,camera_crash_5,recovery_after_1,2,93,93,0,0.9577526132404182
r2_b_zero,camera_crash_5,recovery_after_3,6,289,292,-3,0.9623970116253008
r2_b_zero,camera_crash_5,recovery_after_5,10,473,478,-5,0.9609439469215983
r2_b_zero,camera_crash_10,pre_fault,6,170,170,0,1.0
r2_b_zero,camera_crash_10,in_fault,20,832,832,0,0.9352747491779316
r2_b_zero,camera_crash_10,first_recovery,2,93,93,0,0.9765151515151516
r2_b_zero,camera_crash_10,post_fault,55,2329,2332,-3,0.9888678109683346
r2_b_zero,camera_crash_10,recovery_after_1,2,93,93,0,0.9765151515151516
r2_b_zero,camera_crash_10,recovery_after_3,6,268,270,-2,0.9723737257470101
r2_b_zero,camera_crash_10,recovery_after_5,10,453,455,-2,0.9748912138234251
r2_b_zero,compound,pre_fault,6,170,170,0,1.0
r2_b_zero,compound,in_fault,20,785,785,0,0.8833495367188998
r2_b_zero,compound,first_recovery,2,90,90,0,0.9462121212121212
r2_b_zero,compound,post_fault,55,2317,2321,-4,0.9851913145078209
r2_b_zero,compound,recovery_after_1,2,90,90,0,0.9462121212121212
r2_b_zero,compound,recovery_after_3,6,264,264,0,0.9490676599961225
r2_b_zero,compound,recovery_after_5,10,445,447,-2,0.9596613131565418
r2_a_50iter,camera_crash_5,pre_fault,6,170,170,0,1.0
r2_a_50iter,camera_crash_5,in_fault,10,379,379,0,0.9661476756995626
r2_a_50iter,camera_crash_5,first_recovery,2,94,93,1,0.9663504968383017
r2_a_50iter,camera_crash_5,post_fault,65,2796,2797,-1,0.9910794911141826
r2_a_50iter,camera_crash_5,recovery_after_1,2,94,93,1,0.9663504968383017
r2_a_50iter,camera_crash_5,recovery_after_3,6,290,292,-2,0.9652629728245952
r2_a_50iter,camera_crash_5,recovery_after_5,10,475,478,-3,0.9689032403583173
r2_a_50iter,camera_crash_10,pre_fault,6,170,170,0,1.0
r2_a_50iter,camera_crash_10,in_fault,20,833,832,1,0.9400656628792593
r2_a_50iter,camera_crash_10,first_recovery,2,92,93,-1,0.9679815573770492
r2_a_50iter,camera_crash_10,post_fault,55,2326,2332,-6,0.9883234351950405
r2_a_50iter,camera_crash_10,recovery_after_1,2,92,93,-1,0.9679815573770492
r2_a_50iter,camera_crash_10,recovery_after_3,6,266,270,-4,0.9717045306696946
r2_a_50iter,camera_crash_10,recovery_after_5,10,448,455,-7,0.9666108088103942
r2_a_50iter,compound,pre_fault,6,170,170,0,1.0
r2_a_50iter,compound,in_fault,20,785,785,0,0.8832335469012975
r2_a_50iter,compound,first_recovery,2,90,90,0,0.9449282786885246
r2_a_50iter,compound,post_fault,55,2310,2321,-11,0.9839650617829068
r2_a_50iter,compound,recovery_after_1,2,90,90,0,0.9449282786885246
r2_a_50iter,compound,recovery_after_3,6,265,264,1,0.9529089933290752
r2_a_50iter,compound,recovery_after_5,10,447,447,0,0.9635702293790736
r2_b_50iter,camera_crash_5,pre_fault,6,170,170,0,1.0
r2_b_50iter,camera_crash_5,in_fault,10,379,379,0,0.9661476756995626
r2_b_50iter,camera_crash_5,first_recovery,2,94,93,1,0.9663504968383017
r2_b_50iter,camera_crash_5,post_fault,65,2794,2797,-3,0.9894622942206133
r2_b_50iter,camera_crash_5,recovery_after_1,2,94,93,1,0.9663504968383017
r2_b_50iter,camera_crash_5,recovery_after_3,6,290,292,-2,0.9652629728245952
r2_b_50iter,camera_crash_5,recovery_after_5,10,475,478,-3,0.9689032403583173
r2_b_50iter,camera_crash_10,pre_fault,6,170,170,0,1.0
r2_b_50iter,camera_crash_10,in_fault,20,833,832,1,0.9400656628792593
r2_b_50iter,camera_crash_10,first_recovery,2,92,93,-1,0.9679815573770492
r2_b_50iter,camera_crash_10,post_fault,55,2326,2332,-6,0.989011941419539
r2_b_50iter,camera_crash_10,recovery_after_1,2,92,93,-1,0.9679815573770492
r2_b_50iter,camera_crash_10,recovery_after_3,6,266,270,-4,0.9717045306696946
r2_b_50iter,camera_crash_10,recovery_after_5,10,450,455,-5,0.9712761232120167
r2_b_50iter,compound,pre_fault,6,170,170,0,1.0
r2_b_50iter,compound,in_fault,20,785,785,0,0.8832335469012975
r2_b_50iter,compound,first_recovery,2,90,90,0,0.9449282786885246
r2_b_50iter,compound,post_fault,55,2319,2321,-2,0.9864517695543813
r2_b_50iter,compound,recovery_after_1,2,90,90,0,0.9449282786885246
r2_b_50iter,compound,recovery_after_3,6,265,264,1,0.9529089933290752
r2_b_50iter,compound,recovery_after_5,10,446,447,-1,0.9605399263487705
