candidate,experiment,scene_token,scene_name,fault_end_frame,first_post_frame,raw_recovery_delay,robust_recovered_frame,robust_recovery_delay,recovery_window_clean_support,recovery_window_retained,recovery_window_retention,zero_support_frames_before_recovery,window_frames,minimum_clean_support,recovery_threshold,status,cases,recovered_cases,mean_recovery_delay,max_recovery_delay
r2_a_zero,camera_crash_back_5f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,7,8,0,18,10,62,62,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,camera_crash_back_5f,325cef682f064c55a255f2625c533b75,scene-0916,7,8,0,13,5,119,119,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,camera_crash_back_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,camera_crash_back_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,22,9,95,95,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,compound_fog_crash_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,compound_fog_crash_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,21,8,98,98,1.0,0,2,5,1.0,recovered,,,,
r2_a_zero,fault_mean,all,all,,,,,,,,,,,,,aggregate,6,6,6.666666666666667,10
r2_b_zero,camera_crash_back_5f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,7,8,0,20,12,60,60,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,camera_crash_back_5f,325cef682f064c55a255f2625c533b75,scene-0916,7,8,0,13,5,119,119,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,camera_crash_back_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,15,2,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,camera_crash_back_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,22,9,95,95,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,compound_fog_crash_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,compound_fog_crash_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,20,7,102,102,1.0,0,2,5,1.0,recovered,,,,
r2_b_zero,fault_mean,all,all,,,,,,,,,,,,,aggregate,6,6,6.5,12
r2_a_50iter,camera_crash_back_5f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,7,8,0,14,6,60,60,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,camera_crash_back_5f,325cef682f064c55a255f2625c533b75,scene-0916,7,8,0,12,4,120,120,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,camera_crash_back_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,camera_crash_back_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,21,8,97,97,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,compound_fog_crash_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,compound_fog_crash_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,20,7,101,101,1.0,0,2,5,1.0,recovered,,,,
r2_a_50iter,fault_mean,all,all,,,,,,,,,,,,,aggregate,6,6,5.5,8
r2_b_50iter,camera_crash_back_5f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,7,8,0,14,6,60,60,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,camera_crash_back_5f,325cef682f064c55a255f2625c533b75,scene-0916,7,8,0,12,4,120,120,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,camera_crash_back_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,17,4,65,65,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,camera_crash_back_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,21,8,97,97,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,compound_fog_crash_10f,fcbccedd61424f1b85dcbf8f897f9754,scene-0103,12,13,0,18,5,63,63,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,compound_fog_crash_10f,325cef682f064c55a255f2625c533b75,scene-0916,12,13,0,21,8,97,97,1.0,0,2,5,1.0,recovered,,,,
r2_b_50iter,fault_mean,all,all,,,,,,,,,,,,,aggregate,6,6,5.833333333333333,8
