high_to_low_score_scale,keep_to_defer,keep_to_recover,phase,protocol,records,variant,write_mask_lost
19208,19208,4,clean,clean,81,n1_debug50,19208
2415,2415,506,fault,compound_10f,20,n1_debug50,3481
1332,1332,0,pre_fault,compound_10f,6,n1_debug50,1332
13296,13296,5,recovery,compound_10f,55,n1_debug50,13297
3720,3720,132,fault,crash_10f,20,n1_debug50,3827
1332,1332,0,pre_fault,crash_10f,6,n1_debug50,1332
12961,12961,4,recovery,crash_10f,55,n1_debug50,12962
1792,1792,83,fault,crash_5f,10,n1_debug50,1853
1332,1332,0,pre_fault,crash_5f,6,n1_debug50,1332
15471,15471,4,recovery,crash_5f,65,n1_debug50,15471
20217,20217,4,clean,clean,81,n1_zero_shot,20217
2626,2626,450,fault,compound_10f,20,n1_zero_shot,3727
1412,1412,0,pre_fault,compound_10f,6,n1_zero_shot,1412
13938,13938,5,recovery,compound_10f,55,n1_zero_shot,13940
3919,3919,137,fault,crash_10f,20,n1_zero_shot,4035
1412,1412,0,pre_fault,crash_10f,6,n1_zero_shot,1412
13642,13642,4,recovery,crash_10f,55,n1_zero_shot,13643
1886,1886,84,fault,crash_5f,10,n1_zero_shot,1950
1412,1412,0,pre_fault,crash_5f,6,n1_zero_shot,1412
16194,16194,4,recovery,crash_5f,65,n1_zero_shot,16194
