count,mean,metric,p01,p10,p25,p50,p75,p90,p99,phase,protocol,variant
72900,0.6895967973859671,actual_added_negative_evidence,0.1464637829363346,0.23294764757156372,0.4613000378012657,0.7570000290870667,0.8654230684041977,1.0095885396003725,1.3432265067100522,clean,clean,n1_debug50
72900,0.2541031182494873,actual_added_positive_evidence,0.04710040353238583,0.07687242329120636,0.16286173462867737,0.26034118235111237,0.33589840680360794,0.4056029617786408,0.5693104195594784,clean,clean,n1_debug50
72900,1.3717051023645492,alpha,1.1558146059513092,1.2164550304412842,1.2588330507278442,1.3209649324417114,1.4019454717636108,1.5341241121292115,2.4228071427345244,clean,clean,n1_debug50
72900,1.961144705966667,beta,1.5022468554973603,1.675669300556183,1.7549383044242859,1.8489723205566406,2.0090145468711853,2.33014395236969,3.9334312987327418,clean,clean,n1_debug50
81,0.8592866941015089,defer_ratio,0.7586666666666667,0.81,0.8322222222222222,0.8611111111111112,0.8877777777777778,0.9111111111111111,0.9573333333333334,clean,clean,n1_debug50
81,241.679012345679,effective_propagated_queries,0.0,240.0,245.0,249.0,252.0,253.0,256.0,clean,clean,n1_debug50
81,0.14065843621399177,keep_ratio,0.042666666666666665,0.08888888888888889,0.11222222222222222,0.1388888888888889,0.16777777777777778,0.19,0.24133333333333337,clean,clean,n1_debug50
81,5.486968449931413e-05,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333365,clean,clean,n1_debug50
72900,0.31255692985854194,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,clean,clean,n1_debug50
72900,0.7560083060042194,source_innovation,0.0,0.0,0.3379130959510803,1.0,1.0,1.0,1.0,clean,clean,n1_debug50
72900,1.332849808242913,strength,0.7445006561279297,0.9367422103881836,1.0396859645843506,1.1714186668395996,1.3686901330947876,1.8251343965530396,4.325095758438097,clean,clean,n1_debug50
72900,0.0,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean,clean,n1_debug50
72900,0.6140593740021086,uncertainty,0.3162007346749306,0.5228574514389038,0.5937025547027588,0.630632609128952,0.6579626947641373,0.6810267627239227,0.7287300103902812,clean,clean,n1_debug50
81,0.14071330589849107,write_ratio,0.042666666666666665,0.08888888888888889,0.11222222222222222,0.1388888888888889,0.16777777777777778,0.19,0.24133333333333337,clean,clean,n1_debug50
18000,0.42700534967715953,actual_added_negative_evidence,0.0,0.0,0.07734495587646961,0.3248866945505142,0.7944287657737732,0.9205701231956482,1.3035702383518208,fault,compound_10f,n1_debug50
18000,0.16010176920354005,actual_added_positive_evidence,0.0,0.0,0.028453318867832422,0.13660679012537003,0.27146609127521515,0.36022702157497405,0.5208828067779536,fault,compound_10f,n1_debug50
18000,1.2445927704705133,alpha,1.0,1.0,1.1119375228881836,1.2348178625106812,1.3439089357852936,1.4725423812866212,1.9491839945316292,fault,compound_10f,n1_debug50
18000,1.6234413549701372,beta,1.0,1.0,1.2765567302703857,1.7080152034759521,1.9035716950893402,2.169234871864319,3.2103595566749523,fault,compound_10f,n1_debug50
20,0.8582222222222222,defer_ratio,0.8257666666666666,0.8276666666666667,0.845,0.8594444444444445,0.8669444444444445,0.8853333333333334,0.9014333333333333,fault,compound_10f,n1_debug50
20,233.7,effective_propagated_queries,211.95,216.0,219.0,237.0,246.75,251.0,253.43,fault,compound_10f,n1_debug50
20,0.0841111111111111,keep_ratio,0.03412222222222222,0.043222222222222224,0.0625,0.08555555555555555,0.10472222222222222,0.12344444444444445,0.13254444444444444,fault,compound_10f,n1_debug50
20,0.05766666666666668,recover_ratio,0.018622222222222224,0.024222222222222225,0.0375,0.05,0.07305555555555555,0.09255555555555559,0.12275555555555553,fault,compound_10f,n1_debug50
18000,0.2990055581132571,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.75,1.0,fault,compound_10f,n1_debug50
18000,0.6156365678972668,source_innovation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,fault,compound_10f,n1_debug50
18000,0.8680341253810459,strength,0.0,0.0,0.42360204458236694,0.973482608795166,1.2378371953964233,1.626219415664673,3.1586057281494004,fault,compound_10f,n1_debug50
18000,0.008376862317323685,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.28346866369247437,fault,compound_10f,n1_debug50
18000,0.7363442885246542,uncertainty,0.3877016758918762,0.551538598537445,0.6176962852478027,0.6726119518280029,0.8252180069684982,1.0,1.0,fault,compound_10f,n1_debug50
20,0.14177777777777778,write_ratio,0.09856666666666666,0.11466666666666667,0.13305555555555554,0.14055555555555554,0.155,0.17233333333333334,0.17423333333333335,fault,compound_10f,n1_debug50
5400,0.7182999372309833,actual_added_negative_evidence,0.15586566925048828,0.26049036383628843,0.6277696937322617,0.7497680187225342,0.8585266023874283,1.0074243426322937,1.3401737177371984,pre_fault,compound_10f,n1_debug50
5400,0.2778048569591785,actual_added_positive_evidence,0.05650361571460962,0.08972861617803574,0.21079253777861595,0.27746038138866425,0.347698450088501,0.4272847652435303,0.6035124182701112,pre_fault,compound_10f,n1_debug50
5400,1.3368380321396722,alpha,1.07687246799469,1.2184136152267455,1.2573908567428589,1.3169015049934387,1.3949751257896423,1.4878605723381042,1.7052814698219305,pre_fault,compound_10f,n1_debug50
5400,1.8494336282544666,beta,1.1558656692504883,1.6440190076828003,1.7194837629795074,1.807174265384674,1.933269441127777,2.1478399038314824,2.5593995904922506,pre_fault,compound_10f,n1_debug50
6,0.9114814814814814,defer_ratio,0.8618888888888889,0.8688888888888889,0.8836111111111111,0.9055555555555556,0.9433333333333334,0.96,0.964,pre_fault,compound_10f,n1_debug50
6,162.5,effective_propagated_queries,0.0,0.0,53.5,231.5,254.25,256.0,256.0,pre_fault,compound_10f,n1_debug50
6,0.08851851851851851,keep_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,compound_10f,n1_debug50
6,0.0,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,compound_10f,n1_debug50
5400,0.2708148175312413,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,pre_fault,compound_10f,n1_debug50
5400,0.8336659075926851,source_innovation,0.0,5.185604095458984e-06,1.0,1.0,1.0,1.0,1.0,pre_fault,compound_10f,n1_debug50
5400,1.1862716590916669,strength,0.23273801803588867,0.903439974784851,0.9972427487373352,1.1326494216918945,1.3007521629333496,1.5977939605712892,2.1681745243072514,pre_fault,compound_10f,n1_debug50
5400,0.0,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,compound_10f,n1_debug50
5400,0.6332453024552928,uncertainty,0.4798263645172119,0.5558962225914001,0.605922520160675,0.6384372115135193,0.6672799587249756,0.6888380944728851,0.8957611322402954,pre_fault,compound_10f,n1_debug50
6,0.08851851851851851,write_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,compound_10f,n1_debug50
49500,0.6867489175186916,actual_added_negative_evidence,0.1430228531360626,0.22903286367654802,0.43628066033124924,0.7550502419471741,0.8670382499694824,1.0098416447639464,1.3403993320465093,recovery,compound_10f,n1_debug50
49500,0.2543998529384609,actual_added_positive_evidence,0.046557817794382575,0.07595982626080514,0.16094299033284187,0.2612588107585907,0.3368702232837677,0.4068172752857208,0.5720319455862046,recovery,compound_10f,n1_debug50
49500,1.3756876607543291,alpha,1.1595719254016876,1.2173803091049193,1.2604930400848389,1.322938621044159,1.4043861031532288,1.5426473975181578,2.4392780661582956,recovery,compound_10f,n1_debug50
49500,1.9610204280891803,beta,1.498699803352356,1.6739741921424867,1.7536580264568329,1.848914384841919,2.009602189064026,2.3266290426254272,3.948614716529848,recovery,compound_10f,n1_debug50
55,0.859131313131313,defer_ratio,0.7616444444444445,0.8153333333333334,0.8283333333333334,0.8644444444444445,0.8883333333333333,0.9104444444444445,0.9222222222222223,recovery,compound_10f,n1_debug50
55,246.1818181818182,effective_propagated_queries,225.42000000000002,241.4,244.0,247.0,250.0,251.6,253.0,recovery,compound_10f,n1_debug50
55,0.14076767676767676,keep_ratio,0.07777777777777778,0.08955555555555555,0.11055555555555555,0.13555555555555557,0.17166666666666666,0.18466666666666667,0.23775555555555555,recovery,compound_10f,n1_debug50
55,0.00010101010101010101,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,recovery,compound_10f,n1_debug50
49500,0.3126696995301078,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,recovery,compound_10f,n1_debug50
49500,0.7512158769838738,source_innovation,0.0,0.0,0.3019692301750183,1.0,1.0,1.0,1.0,recovery,compound_10f,n1_debug50
49500,1.33670808962138,strength,0.7460852360725403,0.9324842691421509,1.0408900380134583,1.1736961603164673,1.369296133518219,1.833302068710327,4.394699482917787,recovery,compound_10f,n1_debug50
49500,0.0006497550022722495,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recovery,compound_10f,n1_debug50
49500,0.6134750648872419,uncertainty,0.3127590152621269,0.5217433750629425,0.5935958176851273,0.6301800608634949,0.6577021777629852,0.6820155680179596,0.7283094888925554,recovery,compound_10f,n1_debug50
55,0.14086868686868687,write_ratio,0.07777777777777778,0.08955555555555555,0.11166666666666666,0.13555555555555557,0.17166666666666666,0.18466666666666667,0.23835555555555557,recovery,compound_10f,n1_debug50
18000,0.5082542289487707,actual_added_negative_evidence,0.0,0.0,0.15494272112846375,0.5931140780448914,0.8299715518951416,0.9542988181114197,1.3423143494129177,fault,crash_10f,n1_debug50
18000,0.1969939401404958,actual_added_positive_evidence,0.0,0.0,0.05173333082348108,0.20209360867738724,0.3196316212415695,0.4064441442489624,0.583335227370262,fault,crash_10f,n1_debug50
18000,1.30619734134939,alpha,1.0,1.0,1.1838463842868805,1.3083215355873108,1.4093167185783386,1.5539500355720521,2.084280869960781,fault,crash_10f,n1_debug50
18000,1.7568400732212597,beta,1.0,1.0,1.5623756051063538,1.8142356872558594,1.973513126373291,2.3404327154159548,3.3484647345542897,fault,crash_10f,n1_debug50
20,0.8482222222222223,defer_ratio,0.8114222222222222,0.8222222222222222,0.8330555555555555,0.8488888888888889,0.8547222222222222,0.8701111111111112,0.895611111111111,fault,crash_10f,n1_debug50
20,233.5,effective_propagated_queries,201.52,210.7,224.5,235.5,249.25,252.1,253.0,fault,crash_10f,n1_debug50
20,0.14327777777777778,keep_ratio,0.07893333333333334,0.12433333333333332,0.13083333333333336,0.14722222222222223,0.16083333333333333,0.1711111111111111,0.18191111111111108,fault,crash_10f,n1_debug50
20,0.0085,recover_ratio,0.0011111111111111111,0.0011111111111111111,0.0022222222222222222,0.006111111111111111,0.013611111111111112,0.01933333333333334,0.026933333333333326,fault,crash_10f,n1_debug50
18000,0.31929722475012146,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,fault,crash_10f,n1_debug50
18000,0.6186248599787553,source_innovation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,fault,crash_10f,n1_debug50
18000,1.0630374148554271,strength,0.0,0.0,0.8365417718887329,1.1367861032485962,1.3433910608291626,1.8744628906250003,3.386012516021721,fault,crash_10f,n1_debug50
18000,0.008650462693638271,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.28346866369247437,fault,crash_10f,n1_debug50
18000,0.6948177531096671,uncertainty,0.3713322243094444,0.5162005662918091,0.5981950610876083,0.6375952661037445,0.7050839364528656,1.0,1.0,fault,crash_10f,n1_debug50
20,0.15177777777777776,write_ratio,0.10438888888888889,0.1298888888888889,0.14527777777777778,0.1511111111111111,0.16694444444444445,0.17777777777777778,0.18857777777777776,fault,crash_10f,n1_debug50
5400,0.7182999372309833,actual_added_negative_evidence,0.15586566925048828,0.26049036383628843,0.6277696937322617,0.7497680187225342,0.8585266023874283,1.0074243426322937,1.3401737177371984,pre_fault,crash_10f,n1_debug50
5400,0.2778048569591785,actual_added_positive_evidence,0.05650361571460962,0.08972861617803574,0.21079253777861595,0.27746038138866425,0.347698450088501,0.4272847652435303,0.6035124182701112,pre_fault,crash_10f,n1_debug50
5400,1.3368380321396722,alpha,1.07687246799469,1.2184136152267455,1.2573908567428589,1.3169015049934387,1.3949751257896423,1.4878605723381042,1.7052814698219305,pre_fault,crash_10f,n1_debug50
5400,1.8494336282544666,beta,1.1558656692504883,1.6440190076828003,1.7194837629795074,1.807174265384674,1.933269441127777,2.1478399038314824,2.5593995904922506,pre_fault,crash_10f,n1_debug50
6,0.9114814814814814,defer_ratio,0.8618888888888889,0.8688888888888889,0.8836111111111111,0.9055555555555556,0.9433333333333334,0.96,0.964,pre_fault,crash_10f,n1_debug50
6,162.5,effective_propagated_queries,0.0,0.0,53.5,231.5,254.25,256.0,256.0,pre_fault,crash_10f,n1_debug50
6,0.08851851851851851,keep_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,crash_10f,n1_debug50
6,0.0,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,crash_10f,n1_debug50
5400,0.2708148175312413,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,pre_fault,crash_10f,n1_debug50
5400,0.8336659075926851,source_innovation,0.0,5.185604095458984e-06,1.0,1.0,1.0,1.0,1.0,pre_fault,crash_10f,n1_debug50
5400,1.1862716590916669,strength,0.23273801803588867,0.903439974784851,0.9972427487373352,1.1326494216918945,1.3007521629333496,1.5977939605712892,2.1681745243072514,pre_fault,crash_10f,n1_debug50
5400,0.0,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,crash_10f,n1_debug50
5400,0.6332453024552928,uncertainty,0.4798263645172119,0.5558962225914001,0.605922520160675,0.6384372115135193,0.6672799587249756,0.6888380944728851,0.8957611322402954,pre_fault,crash_10f,n1_debug50
6,0.08851851851851851,write_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,crash_10f,n1_debug50
49500,0.6863683246437348,actual_added_negative_evidence,0.14427208051085472,0.22979377508163454,0.43780434876680374,0.7562653422355652,0.8653018921613693,1.004820716381073,1.3385808205604555,recovery,crash_10f,n1_debug50
49500,0.25513203313111354,actual_added_positive_evidence,0.04711762886494398,0.07647309601306916,0.16230618581175804,0.26191800832748413,0.33757517486810684,0.4074463903903961,0.5728876167535789,recovery,crash_10f,n1_debug50
49500,1.3847969957192738,alpha,1.1609982466697693,1.2180191040039063,1.2615814507007599,1.3243971467018127,1.4078786075115204,1.5598265767097472,2.5114569997787477,recovery,crash_10f,n1_debug50
49500,1.976838208499581,beta,1.5143952298164367,1.677467668056488,1.7562441527843475,1.8503046035766602,2.011980175971985,2.357718348503113,4.0993969774246235,recovery,crash_10f,n1_debug50
55,0.8524040404040406,defer_ratio,0.7518222222222223,0.806,0.8188888888888889,0.8477777777777777,0.8888888888888888,0.9106666666666666,0.9199111111111111,recovery,crash_10f,n1_debug50
55,247.0,effective_propagated_queries,217.14,239.8,245.0,249.0,252.5,253.6,255.0,recovery,crash_10f,n1_debug50
