effective_propagated_queries,frame_idx,high_to_low_score_scale,keep_to_defer,keep_to_recover,negative_ratio_mean,phase,positive_ratio_mean,protocol,strength_mean,variant
0,0,134,134,0,0.7199237726181471,clean,0.7199237738060824,clean,1.1113762460814582,n1_zero_shot
0,0,124,124,0,0.7604220538348426,clean,0.6938682929372609,clean,1.1434675614039103,n1_debug50
256,1,318,318,0,0.5783855456132789,clean,0.5783855464806099,clean,1.1823086584938898,n1_zero_shot
256,1,302,302,0,0.6113822344977349,clean,0.5568561083505247,clean,1.2158063051435684,n1_debug50
248,2,250,250,0,0.5807288143693724,clean,0.5796241763618181,clean,1.1860521467526755,n1_zero_shot
249,2,229,229,0,0.6153696229801687,clean,0.5592368696128525,clean,1.2281638161341348,n1_debug50
251,3,241,241,0,0.5989739596784369,clean,0.5981092470534216,clean,1.2141206441985237,n1_zero_shot
251,3,225,225,0,0.6322455429253978,clean,0.578257620325525,clean,1.2537689910994636,n1_debug50
253,4,248,248,0,0.5961682171311665,clean,0.6007530728235362,clean,1.2467300905121697,n1_zero_shot
254,4,234,234,0,0.6261490162597614,clean,0.5776662903562524,clean,1.2865063926908704,n1_debug50
250,5,272,272,0,0.5957720782271109,clean,0.6055850353753877,clean,1.2658387062284682,n1_zero_shot
252,5,257,257,0,0.6274125643575682,clean,0.5821037792351055,clean,1.3082163055737814,n1_debug50
251,6,247,247,0,0.6035203785193028,clean,0.6104995200602773,clean,1.2858620807859633,n1_zero_shot
252,6,226,226,0,0.6386404204806622,clean,0.5886685731648917,clean,1.3308684823248123,n1_debug50
253,7,248,248,0,0.6155859332773601,clean,0.6113165999947976,clean,1.3008244212468465,n1_zero_shot
254,7,233,233,0,0.6444873716558256,clean,0.5889259482198613,clean,1.3398018683327568,n1_debug50
252,8,255,255,0,0.5994927078307105,clean,0.5978224538496133,clean,1.284213931295607,n1_zero_shot
253,8,244,244,0,0.6340272524915898,clean,0.5772031471885032,clean,1.3239900477727253,n1_debug50
254,9,251,251,0,0.5919314882199753,clean,0.5831991729093562,clean,1.2339643825425042,n1_zero_shot
254,9,243,243,0,0.61962550387217,clean,0.5617540278561519,clean,1.2655680100123088,n1_debug50
253,10,247,247,0,0.5917262986206555,clean,0.6044616562791025,clean,1.237821668518914,n1_zero_shot
253,10,243,243,0,0.6238171239055632,clean,0.5811313990303587,clean,1.2646695584721035,n1_debug50
253,11,245,245,0,0.5986742660574245,clean,0.6167231918117488,clean,1.2589697170257568,n1_zero_shot
252,11,238,238,0,0.6330961790762746,clean,0.5979902534217507,clean,1.2938563868734572,n1_debug50
249,12,273,273,0,0.5857918668172011,clean,0.6058667749282787,clean,1.2530164037810432,n1_zero_shot
251,12,259,259,0,0.6197315980783545,clean,0.5851129704923091,clean,1.2935057504971823,n1_debug50
255,13,258,258,0,0.5959114322839729,clean,0.6019176558280731,clean,1.2737959869702657,n1_zero_shot
255,13,249,249,0,0.6276541068179355,clean,0.5830778774350311,clean,1.3100306333435907,n1_debug50
247,14,282,282,0,0.5702043284745084,clean,0.5921000123537609,clean,1.2715628242492676,n1_zero_shot
248,14,264,264,0,0.6056305470420352,clean,0.5720212992618372,clean,1.3142934348848132,n1_debug50
254,15,271,271,0,0.5757977088845355,clean,0.5974923412647246,clean,1.298244026766883,n1_zero_shot
253,15,254,254,0,0.6088385732086992,clean,0.5780599559566889,clean,1.3367699355549283,n1_debug50
249,16,249,249,0,0.5665485437027624,clean,0.5953309027795154,clean,1.2865911324818928,n1_zero_shot
249,16,232,232,0,0.6010360354586849,clean,0.5749836186768938,clean,1.3287814495298598,n1_debug50
252,17,272,272,0,0.5635302427779264,clean,0.5959231575955916,clean,1.275563226275974,n1_zero_shot
252,17,259,259,0,0.5979615676621794,clean,0.5754892821224364,clean,1.3194093216790093,n1_debug50
249,18,274,274,0,0.5682185033121057,clean,0.5908563600392249,clean,1.273408868047926,n1_zero_shot
249,18,257,257,0,0.6045673700645252,clean,0.5679070718971317,clean,1.3199767486254375,n1_debug50
250,19,280,280,0,0.5646131650251036,clean,0.58212073701328,clean,1.2601421189308166,n1_zero_shot
249,19,270,270,0,0.5965559482470657,clean,0.5619163376192571,clean,1.2999880430433486,n1_debug50
249,20,265,265,0,0.5668387526392538,clean,0.584952669724562,clean,1.2488318241967096,n1_zero_shot
247,20,252,252,0,0.5997833923509398,clean,0.5649579812613771,clean,1.287415899435679,n1_debug50
250,21,292,292,0,0.5757063785252426,clean,0.5872491676374444,clean,1.2452869812647502,n1_zero_shot
248,21,276,276,0,0.6091560662010383,clean,0.5672270717087121,clean,1.2854240894317628,n1_debug50
249,22,285,285,0,0.5783848057268307,clean,0.596723248333397,clean,1.2462791336907282,n1_zero_shot
249,22,275,275,0,0.6119934805833281,clean,0.5741134484619277,clean,1.2858895863427056,n1_debug50
250,23,293,293,0,0.5738975869651957,clean,0.5982141676317869,clean,1.2386277720663283,n1_zero_shot
250,23,284,284,0,0.6071646402770405,clean,0.5771238880981545,clean,1.285849266052246,n1_debug50
248,24,295,295,0,0.5706779869333745,clean,0.5987737616121503,clean,1.2317207800017462,n1_zero_shot
248,24,290,290,0,0.6039889226577866,clean,0.5802573722633939,clean,1.275302179919349,n1_debug50
250,25,290,290,0,0.5602084633254084,clean,0.5922690001852116,clean,1.2075999763276841,n1_zero_shot
249,25,282,282,0,0.5941752326845884,clean,0.5726048475474645,clean,1.239564879735311,n1_debug50
245,26,291,291,0,0.5687961925064546,clean,0.6065237414093074,clean,1.2120866595374213,n1_zero_shot
245,26,284,284,0,0.6005668019892786,clean,0.5820544939178979,clean,1.246054733859168,n1_debug50
248,27,297,297,0,0.5656539759855014,clean,0.590180393669059,clean,1.2060409122043185,n1_zero_shot
247,27,286,286,0,0.5977964632402306,clean,0.5651511009668078,clean,1.2467832024892171,n1_debug50
243,28,284,284,0,0.5606821335642939,clean,0.5972451333771893,clean,1.1781601701842415,n1_zero_shot
244,28,276,276,0,0.5950368987576101,clean,0.5760567869811765,clean,1.222049244509803,n1_debug50
248,29,307,307,0,0.5608593917272625,clean,0.5814404175331322,clean,1.1872857891188728,n1_zero_shot
244,29,297,297,0,0.5957956612024619,clean,0.5641125386499707,clean,1.2235375724898445,n1_debug50
241,30,290,290,0,0.5671421862791259,clean,0.591035321595466,clean,1.1747117137908936,n1_zero_shot
242,30,284,284,0,0.6014122162787672,clean,0.5700682993943779,clean,1.21899415757921,n1_debug50
242,31,304,304,0,0.5792308833602595,clean,0.5909482468619794,clean,1.2020347719722324,n1_zero_shot
239,31,290,290,0,0.6161494588323606,clean,0.5742199792718917,clean,1.243199365403917,n1_debug50
235,32,265,265,0,0.5891944044708232,clean,0.6161921365878998,clean,1.1896703924073113,n1_zero_shot
236,32,254,254,0,0.6239635597354545,clean,0.5943911183536832,clean,1.231802246040768,n1_debug50
241,33,277,277,0,0.5846201827020782,clean,0.6060751769413868,clean,1.2116394236352708,n1_zero_shot
241,33,270,270,0,0.6177598327265034,clean,0.5808056796271235,clean,1.24968621412913,n1_debug50
