candidate,candidate_name,protocol,mAP,NDS,records,queries,conservation_residual_abs_max,conservation_violation_count,unsupported_growth_count,source_mass_violation_count,delta_mAP_vs_c0,delta_NDS_vs_c0
c0,canonical_no_discount,clean,0.42483713046641897,0.4767600899003638,81,72900,2.86102294921875e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,crash5,0.4185990375651526,0.4717129612244427,81,72900,2.86102294921875e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,crash10,0.41300639050448773,0.4717479612787107,81,72900,2.86102294921875e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,compound,0.38899349441173553,0.45502155323430477,81,72900,1.9073486328125e-06,0,0,0,0.0,0.0
c1,legacy_fixed_discount,clean,0.4279931896298768,0.47957273746210943,81,72900,2.86102294921875e-06,0,0,0,0.003156059163457847,0.0028126475617456514
c1,legacy_fixed_discount,crash5,0.4182269146571803,0.47167059948683343,81,72900,1.9073486328125e-06,0,0,0,-0.0003721229079722832,-4.236173760924222e-05
c1,legacy_fixed_discount,crash10,0.4088418654480844,0.468460138830985,81,72900,1.9073486328125e-06,0,0,0,-0.0041645250564033565,-0.003287822447725741
c1,legacy_fixed_discount,compound,0.39217490675387834,0.45728550086653214,81,72900,1.9073486328125e-06,0,0,0,0.0031814123421428087,0.00226394763222737
c0,canonical_no_discount,fault_average,0.40686630749379193,0.46616082524581937,,,,,,,0.0,0.0
c1,legacy_fixed_discount,fault_average,0.406414562286381,0.4658054130614502,,,,,,,-0.00045174520741092516,-0.000355412184369186
