candidate,candidate_name,protocol,mAP,NDS,records,queries,keep_count,recover_count,defer_count,write_count,write_ratio,conservation_residual_abs_max,conservation_violation_count,unsupported_growth_count,source_mass_violation_count,delta_mAP_vs_c0,delta_NDS_vs_c0
c0,canonical_no_discount,clean,0.4274931712236067,0.4795478174191228,81,72900,20975,3,51922,20978,0.287764060356653,1.9073486328125e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,crash5,0.4193685047930682,0.473273177971397,81,72900,20785,106,52009,20891,0.28657064471879284,1.9073486328125e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,crash10,0.4134681696660894,0.4718602824744563,81,72900,20558,179,52163,20737,0.28445816186556927,2.86102294921875e-06,0,0,0,0.0,0.0
c0,canonical_no_discount,compound,0.3915902497780813,0.45722708175832294,81,72900,18582,1796,52522,20378,0.27953360768175584,1.9073486328125e-06,0,0,0,0.0,0.0
c1,legacy_fixed_discount,clean,0.4247724932181818,0.4770300703196476,81,72900,29410,3,43487,29413,0.40347050754458164,2.86102294921875e-06,0,0,0,-0.0027206780054249147,-0.002517747099475165
c1,legacy_fixed_discount,crash5,0.41831148873105084,0.4730280297458577,81,72900,28908,106,43886,29014,0.39799725651577506,1.9073486328125e-06,0,0,0,-0.0010570160620173574,-0.0002451482255392823
c1,legacy_fixed_discount,crash10,0.4109787292632408,0.4706696454854612,81,72900,28340,178,44382,28518,0.3911934156378601,1.9073486328125e-06,0,0,0,-0.0024894404028485972,-0.0011906369889951307
c1,legacy_fixed_discount,compound,0.3923952448602852,0.45732038512154183,81,72900,26080,1791,45029,27871,0.382318244170096,2.86102294921875e-06,0,0,0,0.0008049950822038854,9.330336321888844e-05
c0,canonical_no_discount,fault_average,0.40814230807907964,0.46745351406805874,,,,,,,,,,,,0.0,0.0
c1,legacy_fixed_discount,fault_average,0.40722848761819225,0.4670060201176202,,,,,,,,,,,,-0.0009138204608873934,-0.0004474939504385267
