experiment,epoch,grad_norm_backbone_mean,grad_norm_head_mean,grad_norm_evidence_mean,grad_norm_total_mean,all_finite
B0,1,47.183590625,100.088430625,0.0,112.3209859375,True
B0,2,45.688897499999996,nan,0.0,nan,False
B0,3,44.3036971875,nan,0.0,nan,False
B0,4,42.46627090909091,104.20410666666666,0.0,114.02148818181817,True
B0,5,45.42354,114.95111843750001,0.0,125.4385146875,True
B0,6,41.11804281249999,103.9543703125,0.0,113.29146625,True
B0,7,40.41098848484849,104.76662545454546,0.0,113.61421606060607,True
B0,8,39.295410000000004,96.64247875000001,0.0,105.4353025,True
B0,9,40.0318078125,104.493195,0.0,113.1532465625,True
B0,10,41.71414696969696,103.2725406060606,0.0,112.5114596969697,True
B0,11,42.253248437500005,nan,0.0,nan,False
B0,12,39.474946875,99.6975884375,0.0,108.3961028125,True
M1,1,48.0142575,nan,17.4501621875,nan,False
M1,2,48.4111165625,nan,11.7645234375,nan,False
M1,3,52.7580415625,114.277765,7.700864062500001,127.68728031250001,True
M1,4,50.64786606060606,119.69251909090909,5.995193939393938,131.75635818181817,True
M1,5,52.6054040625,125.022945625,5.1353621875,137.0894328125,True
M1,6,55.683905624999994,nan,4.7407565625,nan,False
M1,7,51.15741787878788,123.49337545454546,4.413861818181818,135.14330848484846,True
M1,8,50.66048375,119.99669156249999,3.999991875,131.6962290625,True
M1,9,50.4898371875,127.41794999999999,3.8992746875,138.487585625,True
M1,10,50.215340909090905,125.57183696969699,3.4632584848484846,136.68697242424244,True
M1,11,48.38804937500001,113.5982421875,3.430413125,124.520580625,True
M1,12,47.7708425,119.3327025,3.2583696875,129.895370625,True
M1-Ramp,1,47.5126375,nan,0.0,nan,False
M1-Ramp,2,45.260220000000004,98.8179984375,0.0,110.29212375,True
M1-Ramp,3,46.081689062500004,109.2870859375,0.6592568750000001,120.2709090625,True
M1-Ramp,4,49.41370393939394,inf,2.646418484848485,inf,False
M1-Ramp,5,50.8423559375,124.01290187500001,3.2342306250000004,135.450881875,True
M1-Ramp,6,50.45034375,122.97262937500001,3.9253506249999996,134.6664790625,True
M1-Ramp,7,51.35783393939394,127.27808060606061,4.132151212121212,138.90965242424244,True
M1-Ramp,8,52.171470625,127.26486843749998,3.7759359375,138.8286028125,True
M1-Ramp,9,48.9892075,116.1825925,3.7326990625,127.52365625,True
M1-Ramp,10,48.95509424242425,116.32913909090911,3.35088393939394,127.6364712121212,True
M1-Ramp,11,46.983619374999996,nan,3.2974578125000003,nan,False
M1-Ramp,12,50.5989040625,118.296335,3.0740615625,130.1879859375,True
