experiment,epoch,protocol,mAP,NDS,mATE,mASE,mAOE,mAVE,mAAE,fault_average_NDS
B0,1,clean_no_corruption,0.42634220270522805,0.47794894135841376,0.6164527878682262,0.44081095687143074,0.5840930746867085,0.43087823039321627,0.2799865501224212,0.4640262456742465
B0,1,camera_crash_back_5f,0.41572590139512855,0.4704970323754859,0.6144418428277512,0.4420886735407101,0.6010927222862829,0.4335589842607074,0.2824769603053321,0.4640262456742465
B0,1,camera_crash_back_10f,0.4131861885433577,0.46937971203083373,0.6040349744672776,0.4368031533538632,0.6021491966584632,0.4413155610290369,0.28783093689980943,0.4640262456742465
B0,1,compound_fog_crash_10f,0.38543564800034097,0.4522019926164198,0.6118069309933992,0.43585332567719676,0.6200502682047683,0.44296515773883505,0.294482631223308,0.4640262456742465
B0,3,clean_no_corruption,0.42470463727358415,0.4762277534616993,0.6221570648754529,0.4433861332977672,0.5872147349404382,0.4264872570520267,0.28200046158524206,0.46480370717247715
B0,3,camera_crash_back_5f,0.41452469145941906,0.47182339732872586,0.6206530961255325,0.443485727909246,0.57498032549207,0.43439080221330356,0.28087953226968515,0.46480370717247715
B0,3,camera_crash_back_10f,0.40851274047120667,0.46848459427718864,0.6042460865024021,0.4376431571118585,0.593050870423721,0.4366441955430043,0.2861334500031615,0.46480370717247715
B0,3,compound_fog_crash_10f,0.3845744487311068,0.4541031299115169,0.6159662170156145,0.43715065205882075,0.5966198186477641,0.43953713087751256,0.2925671259406527,0.46480370717247715
B0,6,clean_no_corruption,0.41350807053580807,0.46872797682939255,0.6314514415576006,0.44331749957239686,0.589792582957092,0.430800558581905,0.2848985017161203,0.45410797273239334
B0,6,camera_crash_back_5f,0.40194165021759465,0.460865477207706,0.6369910865995255,0.4431187600915381,0.5991564494084194,0.4358929294357654,0.28589425347566544,0.45410797273239334
B0,6,camera_crash_back_10f,0.3974656281899264,0.45925409043749743,0.6215581122428241,0.43803560724696594,0.6043383367226267,0.43904277474334485,0.2918124056188958,0.45410797273239334
B0,6,compound_fog_crash_10f,0.36848383063324996,0.4422043505519766,0.6284862880924029,0.43639567044031785,0.6204417513160442,0.4408441108877952,0.29420782690992386,0.45410797273239334
B0,12,clean_no_corruption,0.4190194244598101,0.47053785711070273,0.6412601215740714,0.44396434638840204,0.5849780958176604,0.43605822227350355,0.28345776513838594,0.4561584404627148
B0,12,camera_crash_back_5f,0.4050073455620876,0.46183182716955706,0.6435317377709524,0.44301590292110415,0.5920025108768923,0.4435343836153358,0.284633920930583,0.4561584404627148
B0,12,camera_crash_back_10f,0.4029941418514693,0.4629362824994496,0.6281063457028371,0.438498900611481,0.593792488560532,0.43395630807895325,0.2912538413090478,0.4561584404627148
B0,12,compound_fog_crash_10f,0.37523663747587266,0.44370721171913774,0.6411342002427668,0.43603692291675955,0.6284361794829051,0.4359595180249006,0.2975442495206546,0.4561584404627148
M1,1,clean_no_corruption,0.40028366030787216,0.4625122486515865,0.6346103780906529,0.44863505553930977,0.561358812509404,0.450357063614492,0.281334505269637,0.4527810174151447
M1,1,camera_crash_back_5f,0.39878609517944846,0.4635831899459812,0.6297205453766858,0.448657603201754,0.5524713080712249,0.44477495049981686,0.28247416928794866,0.4527810174151447
M1,1,camera_crash_back_10f,0.3833704879559514,0.4528218953336,0.6410044171603997,0.44243362350575827,0.5666941409967287,0.45027302312928186,0.28822828165158865,0.4527810174151447
M1,1,compound_fog_crash_10f,0.3674120048553303,0.44193796696585286,0.6320217307838043,0.4414544111619751,0.6034290074759974,0.45152841751735495,0.2892467876789904,0.4527810174151447
M1,3,clean_no_corruption,0.35431829156614414,0.4269233389767201,0.6767914926110793,0.4574730067107584,0.6267154298754812,0.4553517840579976,0.28602635480820376,0.4166050922166986
M1,3,camera_crash_back_5f,0.3532754545229619,0.4270089697416867,0.674633771984581,0.45877154680057075,0.6180686865467276,0.45589147182759393,0.28892209803846924,0.4166050922166986
M1,3,camera_crash_back_10f,0.33241187571804953,0.41434696571458857,0.7001778896909215,0.4538609966045598,0.6221493584568921,0.4498329064300589,0.2925685702619295,0.4166050922166986
M1,3,compound_fog_crash_10f,0.32203346764815655,0.4084593411938207,0.6946580855067593,0.45420293071989165,0.6256402402448242,0.4573538402771946,0.29371882955390605,0.4166050922166986
M1,6,clean_no_corruption,0.36291891985672203,0.4275058929200918,0.6865421057926567,0.4586286403372249,0.6247818656103961,0.48207511135921977,0.2875079469831954,0.4124813569730315
M1,6,camera_crash_back_5f,0.3599272199094824,0.42466187010303597,0.6877671834108561,0.45858128200947873,0.6226770722919994,0.49615071771182223,0.2878411430928959,0.4124813569730315
M1,6,camera_crash_back_10f,0.3361324108837699,0.41192279421578315,0.7089965716745962,0.4538753830592115,0.6171932037280261,0.48987100782007,0.29149794597911477,0.4124813569730315
M1,6,compound_fog_crash_10f,0.3199883228015138,0.4008594066002756,0.7166286407983514,0.45556005392127946,0.631100315975134,0.4960678928996626,0.29199064441038497,0.4124813569730315
M1,12,clean_no_corruption,0.38272784111541575,0.4482620143741622,0.6388205461520341,0.45345792203064345,0.6016852657978288,0.4528236799121922,0.2842316479427579,0.4328285568339843
M1,12,camera_crash_back_5f,0.3728945870498725,0.44257822479423525,0.6367556806907942,0.45357460567844204,0.5999950299999143,0.4632361968549913,0.28512917408286853,0.4328285568339843
M1,12,camera_crash_back_10f,0.3440681103635993,0.4320621497652589,0.6335238866755494,0.44935283655698016,0.5769767500724271,0.452335583485819,0.28752999737463136,0.4328285568339843
M1,12,compound_fog_crash_10f,0.3333621335166149,0.42384529594245884,0.6500931314752971,0.4501146356168941,0.5801329458106195,0.4597012020047475,0.2883157932509283,0.4328285568339843
M1-Ramp,1,clean_no_corruption,0.4293839632962871,0.47956020778435243,0.6063956271971558,0.44266248114533885,0.5857276140073309,0.4364571310297718,0.2800748852583135,0.4654040298505058
M1-Ramp,1,camera_crash_back_5f,0.42095790190488147,0.4728125079586906,0.6089957684055064,0.44375562341224517,0.6016337295218624,0.4394646024687173,0.28281470612917015,0.4654040298505058
M1-Ramp,1,camera_crash_back_10f,0.41090135027652,0.4697706252375126,0.5933944304361247,0.4375318378394949,0.5909922040363972,0.4471319583586289,0.28775006833682815,0.4654040298505058
M1-Ramp,1,compound_fog_crash_10f,0.3896262529608266,0.4536289563553141,0.6044025581413017,0.4364341922675646,0.6320071094352281,0.44756253725137574,0.29143530415552144,0.4654040298505058
M1-Ramp,3,clean_no_corruption,0.3942510177975821,0.4555491271610597,0.640939014687662,0.445529489201448,0.59855705596177,0.4499987940145779,0.2807394635118561,0.4407397792232137
M1-Ramp,3,camera_crash_back_5f,0.3797591116847425,0.44744215717311164,0.6480442361524402,0.44400798799145935,0.5979333467737854,0.4517848301079238,0.2826035856669874,0.4407397792232137
M1-Ramp,3,camera_crash_back_10f,0.3664427627162505,0.43864687316981943,0.6354540704782987,0.4404975846586,0.6234773465304695,0.4546784222401251,0.29163765797556446,0.4407397792232137
M1-Ramp,3,compound_fog_crash_10f,0.362074167276651,0.4361303073267102,0.6345547495487573,0.4374145311516776,0.6317211072134428,0.4544746822415051,0.2909026929607703,0.4407397792232137
M1-Ramp,6,clean_no_corruption,0.37727040307510495,0.4397328191485522,0.6793302486558777,0.4502265204998677,0.6045459995206912,0.4690743256288289,0.285846729584737,0.41956729738850607
M1-Ramp,6,camera_crash_back_5f,0.35797212125423844,0.42607024065464305,0.6940606017606668,0.45330090735350537,0.6141700253689637,0.48022943109306404,0.28739723414856183,0.41956729738850607
M1-Ramp,6,camera_crash_back_10f,0.34744485752524146,0.4204594313416333,0.6755703478396002,0.4473499102015183,0.6141056196218609,0.5052935191858792,0.29031057736101545,0.41956729738850607
M1-Ramp,6,compound_fog_crash_10f,0.3326277428285185,0.4121722201692418,0.6811271518658943,0.4476234674081899,0.6165936527587441,0.4992441890889097,0.2968280513284357,0.41956729738850607
M1-Ramp,12,clean_no_corruption,0.41003074353666136,0.4707215487889524,0.6227533089739882,0.444316069264691,0.5476630053466047,0.44549041243194354,0.28271543377655534,0.4501607907531655
M1-Ramp,12,camera_crash_back_5f,0.3926128422810399,0.4611483068301726,0.62978336030804,0.4447140981143537,0.5496770705222915,0.4442205513177587,0.28318606284102915,0.4501607907531655
