experiment,selected_epoch,protocol,gt,predictions_at_score_0_1,tp_at_2m,false_positive_at_2m,false_negative_at_2m,gt_recall_at_2m,precision_at_2m,memory_writes,matched_memory_writes,false_memory_writes,false_memory_write_rate,recovery_delay,per_class_ap_json,distance_threshold_ap_json
B0,3,clean_no_corruption,4441,7042,3336,3706,1105,0.7511821661787885,0.47372905424595285,20736,3773,16963,0.8180459104938271,nan,"{""barrier"": 0.0, ""bicycle"": 0.22433328939688094, ""bus"": 0.6029658583377835, ""car"": 0.7179297446795234, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5692466044429347, ""pedestrian"": 0.5744964067968648, ""traffic_cone"": 0.7123519929974621, ""trailer"": 0.0, ""truck"": 0.7892180485225302}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06153000946215819, ""1.0"": 0.19447730268291694, ""2.0"": 0.31464318149624376, ""4.0"": 0.32668266394620493}, ""bus"": {""0.5"": 0.0692987637796009, ""1.0"": 0.6555555555555557, ""2.0"": 0.6873722222222224, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.42333660354921315, ""1.0"": 0.7039285899611051, ""2.0"": 0.8464701861484797, ""4.0"": 0.8979835990592957}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.22832083761304223, ""1.0"": 0.5191799904192326, ""2.0"": 0.7314956011105084, ""4.0"": 0.7979899886289561}, ""pedestrian"": {""0.5"": 0.1742738057856525, ""1.0"": 0.4986941692432541, ""2.0"": 0.7716466674693369, ""4.0"": 0.8533709846892152}, ""traffic_cone"": {""0.5"": 0.38612811129002894, ""1.0"": 0.7679498179252123, ""2.0"": 0.8476650213873037, ""4.0"": 0.8476650213873037}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6342590463695266, ""1.0"": 0.8066365567218936, ""2.0"": 0.8542835658060113, ""4.0"": 0.8616930251926896}}"
B0,3,camera_crash_back_5f,4441,7053,3325,3728,1116,0.7487052465660887,0.4714305969091167,20736,3765,16971,0.8184317129629629,0.0,"{""barrier"": 0.0, ""bicycle"": 0.23869765481721356, ""bus"": 0.4850206692502716, ""car"": 0.7172705822914687, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5761862589440107, ""pedestrian"": 0.5723139598708556, ""traffic_cone"": 0.697997489572158, ""trailer"": 0.0, ""truck"": 0.7925174568433959}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06467370502956607, ""1.0"": 0.20636443087972453, ""2.0"": 0.3360728078711149, ""4.0"": 0.34767967548844886}, ""bus"": {""0.5"": 0.05134276105894463, ""1.0"": 0.3759983971683692, ""2.0"": 0.5722587345247909, ""4.0"": 0.9404827842489816}, ""car"": {""0.5"": 0.425272325469356, ""1.0"": 0.7045420891352816, ""2.0"": 0.8435113385444654, ""4.0"": 0.8957565760167717}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.2532232072405381, ""1.0"": 0.5374613721754964, ""2.0"": 0.7217742220138185, ""4.0"": 0.7922862343461899}, ""pedestrian"": {""0.5"": 0.16708149405858796, ""1.0"": 0.5059688462257195, ""2.0"": 0.7670089726042174, ""4.0"": 0.8491965265948979}, ""traffic_cone"": {""0.5"": 0.3842637225592398, ""1.0"": 0.7470639928242034, ""2.0"": 0.8303311214525942, ""4.0"": 0.8303311214525942}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6550241157751173, ""1.0"": 0.8057715282378914, ""2.0"": 0.8505670822813383, ""4.0"": 0.8587071010792363}}"
B0,3,camera_crash_back_10f,4441,7118,3335,3783,1106,0.7509569916685431,0.46853048609159875,20736,3758,16978,0.8187692901234568,0.0,"{""barrier"": 0.0, ""bicycle"": 0.25509457808259023, ""bus"": 0.3887843221298005, ""car"": 0.7199737827028537, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6149164643503604, ""pedestrian"": 0.5721076987027617, ""traffic_cone"": 0.7323075805766028, ""trailer"": 0.0, ""truck"": 0.7755205699504737}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06650437684271793, ""1.0"": 0.2293929437839245, ""2.0"": 0.35622163491980463, ""4.0"": 0.36825935678391386}, ""bus"": {""0.5"": 0.023799310076270862, ""1.0"": 0.3506858581213867, ""2.0"": 0.42873194424881517, ""4.0"": 0.7519201760727294}, ""car"": {""0.5"": 0.42649010677787325, ""1.0"": 0.7141872537355936, ""2.0"": 0.8447423535311316, ""4.0"": 0.8944754167668166}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.29193429704457224, ""1.0"": 0.5840497100266987, ""2.0"": 0.7598898616663353, ""4.0"": 0.8237919886638351}, ""pedestrian"": {""0.5"": 0.1748714588622691, ""1.0"": 0.5004732480849002, ""2.0"": 0.7689039024261634, ""4.0"": 0.8441821854377141}, ""traffic_cone"": {""0.5"": 0.5031864589902626, ""1.0"": 0.7883303114752677, ""2.0"": 0.8188567759204405, ""4.0"": 0.8188567759204405}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6368506442828775, ""1.0"": 0.7542959015313349, ""2.0"": 0.851131024639347, ""4.0"": 0.8598047093483354}}"
B0,3,compound_fog_crash_10f,4441,7111,3254,3857,1187,0.7327178563386625,0.45760090001406273,20736,3715,17021,0.8208429783950617,0.0,"{""barrier"": 0.0, ""bicycle"": 0.24591925463371334, ""bus"": 0.4009271553068172, ""car"": 0.7031294560527204, ""construction_vehicle"": 0.0, ""motorcycle"": 0.46584654235444456, ""pedestrian"": 0.5490354181843742, ""traffic_cone"": 0.6564082189832461, ""trailer"": 0.0, ""truck"": 0.7715126160820386}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06736296029371713, ""1.0"": 0.19614601433051126, ""2.0"": 0.3538464995711576, ""4.0"": 0.36632154433946745}, ""bus"": {""0.5"": 0.023799310076270862, ""1.0"": 0.3490040268018742, ""2.0"": 0.42693198628943685, ""4.0"": 0.803973298059687}, ""car"": {""0.5"": 0.40909070563772576, ""1.0"": 0.684515978773473, ""2.0"": 0.8300375859661829, ""4.0"": 0.8888735538334996}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.1985311279499784, ""1.0"": 0.36978177413891294, ""2.0"": 0.5814569750666722, ""4.0"": 0.713616292262215}, ""pedestrian"": {""0.5"": 0.14381523984770075, ""1.0"": 0.47424273525007793, ""2.0"": 0.7443984836583092, ""4.0"": 0.8336852139814089}, ""traffic_cone"": {""0.5"": 0.4034081947640549, ""1.0"": 0.6683045542118214, ""2.0"": 0.7597542778530252, ""4.0"": 0.794165849104083}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.632943293584969, ""1.0"": 0.746341402551318, ""2.0"": 0.8496781171853672, ""4.0"": 0.8570876510065002}}"
R0,1,clean_no_corruption,4441,7033,3360,3673,1081,0.7565863544246791,0.4777477605573724,20736,3813,16923,0.8161168981481481,nan,"{""barrier"": 0.0, ""bicycle"": 0.2378386174235594, ""bus"": 0.6010847203200671, ""car"": 0.7276798915600031, ""construction_vehicle"": 0.0, ""motorcycle"": 0.597489989910589, ""pedestrian"": 0.5790287176996731, ""traffic_cone"": 0.7325598941461007, ""trailer"": 0.0, ""truck"": 0.7868193041154619}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.07167614289250925, ""1.0"": 0.1683285657210852, ""2.0"": 0.3510146786078602, ""4.0"": 0.360335082472783}, ""bus"": {""0.5"": 0.066387094156401, ""1.0"": 0.6525234567901236, ""2.0"": 0.6857914385399893, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.4403739199133255, ""1.0"": 0.712920059810094, ""2.0"": 0.8566023336192117, ""4.0"": 0.900823252897381}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.26281238286969805, ""1.0"": 0.5796049921775117, ""2.0"": 0.7453795070743469, ""4.0"": 0.8021630775207991}, ""pedestrian"": {""0.5"": 0.17996682025583396, ""1.0"": 0.5022536878966003, ""2.0"": 0.7736132875886069, ""4.0"": 0.8602810750576512}, ""traffic_cone"": {""0.5"": 0.44367072012645525, ""1.0"": 0.8096702018902331, ""2.0"": 0.8367677160953882, ""4.0"": 0.840130938472326}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6073671296551993, ""1.0"": 0.8351718822417081, ""2.0"": 0.8523691022824702, ""4.0"": 0.8523691022824702}}"
R0,1,camera_crash_back_5f,4441,7048,3353,3695,1088,0.755010132852961,0.4757377979568672,20736,3804,16932,0.8165509259259259,0.0,"{""barrier"": 0.0, ""bicycle"": 0.23896831285687373, ""bus"": 0.4849875534797142, ""car"": 0.7233355166576274, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6210187017197327, ""pedestrian"": 0.5755131646792746, ""traffic_cone"": 0.7277160905948323, ""trailer"": 0.0, ""truck"": 0.8107806640280236}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.07261329047956673, ""1.0"": 0.16508053470574108, ""2.0"": 0.3548416426797624, ""4.0"": 0.36333778356242463}, ""bus"": {""0.5"": 0.04322723461004334, ""1.0"": 0.35316005780393467, ""2.0"": 0.5439260297111239, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.4394739729949274, ""1.0"": 0.7071040951320495, ""2.0"": 0.8476562294533434, ""4.0"": 0.8991077690501893}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.3066110078615337, ""1.0"": 0.6286125684421789, ""2.0"": 0.7427610309702406, ""4.0"": 0.8060901996049775}, ""pedestrian"": {""0.5"": 0.1617806270726625, ""1.0"": 0.5001165790428277, ""2.0"": 0.7829537737519813, ""4.0"": 0.8572016788496268}, ""traffic_cone"": {""0.5"": 0.4841895649975004, ""1.0"": 0.7895801807711282, ""2.0"": 0.8169899494475132, ""4.0"": 0.8201046671631875}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6459811355974253, ""1.0"": 0.8566046333783496, ""2.0"": 0.8700769298093678, ""4.0"": 0.8704599573269517}}"
R0,1,camera_crash_back_10f,4441,7079,3358,3721,1083,0.7561360054041882,0.4743607854216697,20736,3786,16950,0.8174189814814815,0.0,"{""barrier"": 0.0, ""bicycle"": 0.23903647354947002, ""bus"": 0.39255974308700126, ""car"": 0.729797919869164, ""construction_vehicle"": 0.0, ""motorcycle"": 0.6274426132242561, ""pedestrian"": 0.569011885444271, ""traffic_cone"": 0.7334436777427039, ""trailer"": 0.0, ""truck"": 0.7757855582197963}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06254606429632123, ""1.0"": 0.15952157614228024, ""2.0"": 0.36236852233547123, ""4.0"": 0.37170973142380737}, ""bus"": {""0.5"": 0.01884795468644798, ""1.0"": 0.3319008005179166, ""2.0"": 0.4141697839145959, ""4.0"": 0.8053204332290445}, ""car"": {""0.5"": 0.45798007899019166, ""1.0"": 0.7148933383044358, ""2.0"": 0.8500922637602066, ""4.0"": 0.8962259984218219}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.2928765577344171, ""1.0"": 0.6235273356585538, ""2.0"": 0.7700619589138895, ""4.0"": 0.823304600590164}, ""pedestrian"": {""0.5"": 0.16914515783993028, ""1.0"": 0.48016786959364505, ""2.0"": 0.7796440614848458, ""4.0"": 0.8470904528586625}, ""traffic_cone"": {""0.5"": 0.5558333789747024, ""1.0"": 0.7733964504155172, ""2.0"": 0.800715081932461, ""4.0"": 0.8038297996481353}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.5982551334505649, ""1.0"": 0.7882488833106258, ""2.0"": 0.8575237112684868, ""4.0"": 0.8591145048495078}}"
R0,1,compound_fog_crash_10f,4441,7101,3285,3816,1156,0.7396982661562711,0.46261089987325726,20736,3750,16986,0.8191550925925926,0.0,"{""barrier"": 0.0, ""bicycle"": 0.23466229037430103, ""bus"": 0.39402474317964586, ""car"": 0.713012082684235, ""construction_vehicle"": 0.0, ""motorcycle"": 0.51547545157667, ""pedestrian"": 0.5489097971813939, ""traffic_cone"": 0.6664711845020301, ""trailer"": 0.0, ""truck"": 0.7868656206391417}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.058764967596575214, ""1.0"": 0.15628788944706865, ""2.0"": 0.35717034889391197, ""4.0"": 0.36642595555964824}, ""bus"": {""0.5"": 0.02012299899580601, ""1.0"": 0.33472375943358657, ""2.0"": 0.41727891622950397, ""4.0"": 0.803973298059687}, ""car"": {""0.5"": 0.4210405595097754, ""1.0"": 0.6931641816059861, ""2.0"": 0.8439741318199663, ""4.0"": 0.8938694578012122}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.20686044104235451, ""1.0"": 0.4454284938055691, ""2.0"": 0.6533399593056519, ""4.0"": 0.7562729121531042}, ""pedestrian"": {""0.5"": 0.15392076148967468, ""1.0"": 0.47611532749779145, ""2.0"": 0.740544331577801, ""4.0"": 0.8250587681603087}, ""traffic_cone"": {""0.5"": 0.4441627512740661, ""1.0"": 0.6603517373644197, ""2.0"": 0.7719411445052009, ""4.0"": 0.789429104864434}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.630844508434505, ""1.0"": 0.7831117688142446, ""2.0"": 0.8658402054664491, ""4.0"": 0.8676659998413682}}"
R1,1,clean_no_corruption,4441,7005,3348,3657,1093,0.7538842603017338,0.4779443254817987,20736,3784,16952,0.8175154320987654,nan,"{""barrier"": 0.0, ""bicycle"": 0.23122310827303139, ""bus"": 0.5961393283855341, ""car"": 0.7215734030486857, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5887923806807461, ""pedestrian"": 0.5805159909505694, ""traffic_cone"": 0.7169634819555457, ""trailer"": 0.0, ""truck"": 0.8226210744526297}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.057320516736954964, ""1.0"": 0.16841195866102168, ""2.0"": 0.3444169679240842, ""4.0"": 0.35474298977006474}, ""bus"": {""0.5"": 0.013337544668402715, ""1.0"": 0.6857914385399893, ""2.0"": 0.6857914385399893, ""4.0"": 0.9996368917937548}, ""car"": {""0.5"": 0.43162301833274186, ""1.0"": 0.707854650024028, ""2.0"": 0.8477618696267543, ""4.0"": 0.8990540742112185}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.24137693153924472, ""1.0"": 0.5737536339498386, ""2.0"": 0.74155021933605, ""4.0"": 0.798488737897851}, ""pedestrian"": {""0.5"": 0.17953772253788317, ""1.0"": 0.5133155265115397, ""2.0"": 0.7691915589810653, ""4.0"": 0.8600191557717894}, ""traffic_cone"": {""0.5"": 0.4348979717717385, ""1.0"": 0.7577177358560627, ""2.0"": 0.836136746186407, ""4.0"": 0.8391014740079747}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6913431384614352, ""1.0"": 0.8566340514200071, ""2.0"": 0.8712535539645382, ""4.0"": 0.8712535539645382}}"
R1,1,camera_crash_back_5f,4441,7030,3350,3680,1091,0.7543346093222247,0.47652916073968704,20736,3781,16955,0.8176601080246914,0.0,"{""barrier"": 0.0, ""bicycle"": 0.259314700279309, ""bus"": 0.46128633136481656, ""car"": 0.7204402871137698, ""construction_vehicle"": 0.0, ""motorcycle"": 0.5926506382476979, ""pedestrian"": 0.584422043555624, ""traffic_cone"": 0.7013579193550238, ""trailer"": 0.0, ""truck"": 0.8092100592450994}","{""barrier"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""bicycle"": {""0.5"": 0.06207323573805556, ""1.0"": 0.18210939232289539, ""2.0"": 0.39151808815373584, ""4.0"": 0.40155808490254913}, ""bus"": {""0.5"": 0.027526002225490714, ""1.0"": 0.3212449604574162, ""2.0"": 0.5558915785273778, ""4.0"": 0.9404827842489816}, ""car"": {""0.5"": 0.43451413346424106, ""1.0"": 0.700393038669019, ""2.0"": 0.8474212218595687, ""4.0"": 0.8994327544622505}, ""construction_vehicle"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""motorcycle"": {""0.5"": 0.26972466434348236, ""1.0"": 0.5908338964714605, ""2.0"": 0.7225966951958678, ""4.0"": 0.7874472969799808}, ""pedestrian"": {""0.5"": 0.1775443659718205, ""1.0"": 0.519398407377045, ""2.0"": 0.781538416302977, ""4.0"": 0.8592069845706531}, ""traffic_cone"": {""0.5"": 0.42928716161733954, ""1.0"": 0.739582202711126, ""2.0"": 0.8182811565458148, ""4.0"": 0.8182811565458148}, ""trailer"": {""0.5"": 0.0, ""1.0"": 0.0, ""2.0"": 0.0, ""4.0"": 0.0}, ""truck"": {""0.5"": 0.6391218191509687, ""1.0"": 0.8560134663691398, ""2.0"": 0.870638620040242, ""4.0"": 0.8710663314200473}}"
