experiment,epoch,protocol,mAP,NDS,mATE,mASE,mAOE,mAVE,mAAE,fault_average_NDS
B0,1,clean_no_corruption,0.4195698787390308,0.4730912894408492,0.6270545319931787,0.4409336857599101,0.5824813301453557,0.4370949490438658,0.27937200234435144,0.45978536782531854
B0,1,camera_crash_back_5f,0.4079137203460565,0.46496823427480527,0.6270879003752469,0.44054842991515386,0.5895565324829226,0.4496036508213108,0.283089745387596,0.45978536782531854
B0,1,camera_crash_back_10f,0.4099331191302976,0.4670200797835576,0.6056630446760628,0.43564805635691517,0.5948519470598376,0.4566058413942359,0.2866959083288607,0.45978536782531854
B0,1,compound_fog_crash_10f,0.3794049623902451,0.44736778941759264,0.617074279128887,0.4344752989895957,0.6219318330704974,0.45644391136628537,0.2934215952200339,0.45978536782531854
B0,3,clean_no_corruption,0.41905419451739795,0.4732822330488455,0.6163233411322606,0.44267759259354644,0.5957025579032099,0.4279666324092834,0.27977851806023407,0.459336088647268
B0,3,camera_crash_back_5f,0.40800040715893743,0.4653639556081415,0.6184969073041567,0.4417354786523175,0.6039277452658365,0.44137400541777855,0.28082834307318294,0.459336088647268
B0,3,camera_crash_back_10f,0.4058704996495443,0.46487067216101147,0.6017322913616028,0.43668750218177743,0.6107124182443879,0.4447918419217808,0.28672172292805786,0.459336088647268
B0,3,compound_fog_crash_10f,0.37927786615973547,0.44777363817265103,0.614211290937631,0.4345012144167443,0.6335368065617393,0.443597128288028,0.2928065088680252,0.459336088647268
B0,6,clean_no_corruption,0.4152928415275626,0.46939504284682254,0.6238232742017854,0.4420387878250097,0.6079794325246556,0.42537670494294605,0.28329557967519114,0.4550799747137238
B0,6,camera_crash_back_5f,0.39926461911971417,0.4577816690080036,0.6278448885484631,0.44146064816486896,0.6230495748720862,0.4430730530568299,0.2830782408762869,0.4550799747137238
B0,6,camera_crash_back_10f,0.40112336275663835,0.46129386150307494,0.6057959105835873,0.43614826460076267,0.6210977925513508,0.44202061429880257,0.2876156167179389,0.4550799747137238
B0,6,compound_fog_crash_10f,0.37898134772895176,0.44616439363009286,0.6160151662066398,0.43463253317939987,0.6432528311787409,0.44659562370037553,0.29276664807867436,0.4550799747137238
R0,1,clean_no_corruption,0.42625011351754544,0.47735339533593335,0.6157708850880167,0.44014502926045357,0.5883537931484716,0.43436655149384523,0.2790803552376061,0.4622687278704742
R0,1,camera_crash_back_5f,0.4182320004016079,0.4713220533403394,0.6143612997485217,0.44057093520580126,0.6004317398946418,0.4419083113368594,0.2806671824188206,0.4622687278704742
R0,1,camera_crash_back_10f,0.4067077871136663,0.4650449782146211,0.6052120497511362,0.43675395416988144,0.6114964452252766,0.4449432968309285,0.28468340744489795,0.4622687278704742
R0,1,compound_fog_crash_10f,0.3859421170137417,0.4504391520564619,0.6154799876779886,0.435220091442534,0.6407387878781043,0.44342581266951014,0.29045438483595265,0.4622687278704742
R0,3,clean_no_corruption,0.4223129988187651,0.4757162895447884,0.6137269650047583,0.44057655332307705,0.5932925418138324,0.4257668954711824,0.2810391430330913,0.4606194877180432
R0,3,camera_crash_back_5f,0.4117321655837852,0.4681671884314829,0.6173421209809647,0.44104449919394195,0.5996700127622827,0.43795305964278153,0.2809792510241257,0.4606194877180432
R0,3,camera_crash_back_10f,0.40920914838259537,0.46769636132912684,0.6037930092425814,0.43599166901857667,0.6059297460926859,0.437885250705173,0.28548245356269175,0.4606194877180432
R0,3,compound_fog_crash_10f,0.3768128106467358,0.4459949133935197,0.62326947888757,0.4339885925978896,0.6311836758295536,0.441762679027089,0.29391049295638016,0.4606194877180432
R0,6,clean_no_corruption,0.41639982103898987,0.47100268497331443,0.6161160836910061,0.4410668058853718,0.6085674192284196,0.42439245799494063,0.2818294886620671,0.45650228403973153
R0,6,camera_crash_back_5f,0.40558271212766905,0.4628947146655742,0.6293523095573118,0.44162300037028784,0.6083662830262221,0.43577283644210013,0.28385198458668104,0.45650228403973153
R0,6,camera_crash_back_10f,0.40231622407479295,0.46301711024011355,0.6103266085994701,0.4358964918503041,0.6149928619538083,0.4329189188704554,0.2872751366987913,0.45650228403973153
R0,6,compound_fog_crash_10f,0.37331385019268115,0.4435950272135071,0.624757389613101,0.4355755043775108,0.6431314685486589,0.43206234095120244,0.2950922753378616,0.45650228403973153
R1,1,clean_no_corruption,0.42578287677467425,0.47808707448373716,0.6180973145465564,0.43869299234047343,0.5830329462685259,0.42759741603996637,0.2806229698404777,0.46356031664225533
R1,1,camera_crash_back_5f,0.41286819791613405,0.4686768042867609,0.620014369094677,0.4394341526876374,0.5964348534722373,0.4384046487092844,0.28328492274922545,0.46356031664225533
R1,1,camera_crash_back_10f,0.41382019261611047,0.4714181470860158,0.598896832084914,0.43479619507878536,0.5946417513828618,0.43895979622773373,0.28762491744609964,0.46356031664225533
R1,1,compound_fog_crash_10f,0.38292766246857796,0.45058599855398923,0.6189421422418183,0.4334239767506448,0.627950863543634,0.43771570193479437,0.2907456423321061,0.46356031664225533
R1,3,clean_no_corruption,0.4203487756439648,0.47457183007580406,0.6178771659796378,0.44111621726946587,0.5874649868883152,0.42628864272696326,0.28327856459740053,0.4594168460421118
R1,3,camera_crash_back_5f,0.41138437633833397,0.4669612476478237,0.6309073317567984,0.44048086889430527,0.5930733132134753,0.4386044735740541,0.28424341777479956,0.4594168460421118
R1,3,camera_crash_back_10f,0.4032544628380621,0.4645493799312021,0.6115822480159526,0.43565030959702505,0.5963371677721129,0.43960581264124743,0.287602976851951,0.4594168460421118
R1,3,compound_fog_crash_10f,0.374861926806876,0.4467399105473097,0.6230103933084205,0.4334501265667069,0.6146675261811727,0.4427374988094553,0.29304498369552745,0.4594168460421118
R1,6,clean_no_corruption,0.416356568999396,0.4718396242214499,0.6264487367713364,0.4396135107007354,0.5860863792608973,0.42645389428308067,0.2847840817664311,0.45560496496213715
R1,6,camera_crash_back_5f,0.40411513217500905,0.46202400838490265,0.6366526170260887,0.44032383980280104,0.6000779524217918,0.4373560057986795,0.2859251619766576,0.45560496496213715
R1,6,camera_crash_back_10f,0.39868893353091606,0.46066178276069747,0.6232450012374016,0.4357732750507795,0.6021430628029713,0.4358668572130883,0.2897986437433646,0.45560496496213715
R1,6,compound_fog_crash_10f,0.37010836481212317,0.4441291037408114,0.6298174882582159,0.4345944938912594,0.618091890130694,0.4332690522375975,0.2934778621347359,0.45560496496213715
