experiment,protocol,class,center_distance_threshold_m,AP,class_mean_AP
B0,clean_no_corruption,car,0.5,0.43458263675693387,0.7253585030122323
B0,clean_no_corruption,car,1.0,0.7166619864313164,0.7253585030122323
B0,clean_no_corruption,car,2.0,0.849746939027235,0.7253585030122323
B0,clean_no_corruption,car,4.0,0.9004424498334436,0.7253585030122323
B0,clean_no_corruption,truck,0.5,0.6394791992669832,0.8147775814802413
B0,clean_no_corruption,truck,1.0,0.8649782071230975,0.8147775814802413
B0,clean_no_corruption,truck,2.0,0.8772440507457402,0.8147775814802413
B0,clean_no_corruption,truck,4.0,0.8774088687851443,0.8147775814802413
B0,clean_no_corruption,bus,0.5,0.08717932890307294,0.6145997744442016
B0,clean_no_corruption,bus,1.0,0.6857914385399893,0.6145997744442016
B0,clean_no_corruption,bus,2.0,0.6857914385399893,0.6145997744442016
B0,clean_no_corruption,bus,4.0,0.9996368917937548,0.6145997744442016
B0,clean_no_corruption,trailer,0.5,0.0,0.0
B0,clean_no_corruption,trailer,1.0,0.0,0.0
B0,clean_no_corruption,trailer,2.0,0.0,0.0
B0,clean_no_corruption,trailer,4.0,0.0,0.0
B0,clean_no_corruption,construction_vehicle,0.5,0.0,0.0
B0,clean_no_corruption,construction_vehicle,1.0,0.0,0.0
B0,clean_no_corruption,construction_vehicle,2.0,0.0,0.0
B0,clean_no_corruption,construction_vehicle,4.0,0.0,0.0
B0,clean_no_corruption,pedestrian,0.5,0.1873274976741116,0.5846808936955419
B0,clean_no_corruption,pedestrian,1.0,0.5177589468729124,0.5846808936955419
B0,clean_no_corruption,pedestrian,2.0,0.779351942214393,0.5846808936955419
B0,clean_no_corruption,pedestrian,4.0,0.8542851880207504,0.5846808936955419
B0,clean_no_corruption,motorcycle,0.5,0.2438898181866436,0.5813469031750371
B0,clean_no_corruption,motorcycle,1.0,0.5653097662358362,0.5813469031750371
B0,clean_no_corruption,motorcycle,2.0,0.7184470299840837,0.5813469031750371
B0,clean_no_corruption,motorcycle,4.0,0.7977409982935851,0.5813469031750371
B0,clean_no_corruption,bicycle,0.5,0.07483932549727103,0.28662969718899645
B0,clean_no_corruption,bicycle,1.0,0.29234164875703084,0.28662969718899645
B0,clean_no_corruption,bicycle,2.0,0.38304634065796894,0.28662969718899645
B0,clean_no_corruption,bicycle,4.0,0.396291473843715,0.28662969718899645
B0,clean_no_corruption,traffic_cone,0.5,0.4589048039711912,0.7267039135679281
B0,clean_no_corruption,traffic_cone,1.0,0.7635569102765654,0.7267039135679281
B0,clean_no_corruption,traffic_cone,2.0,0.841894428837964,0.7267039135679281
B0,clean_no_corruption,traffic_cone,4.0,0.8424595111859918,0.7267039135679281
B0,clean_no_corruption,barrier,0.5,0.0,0.0
B0,clean_no_corruption,barrier,1.0,0.0,0.0
B0,clean_no_corruption,barrier,2.0,0.0,0.0
B0,clean_no_corruption,barrier,4.0,0.0,0.0
B0,camera_crash_back_5f,car,0.5,0.4298220043332337,0.7226314073446882
B0,camera_crash_back_5f,car,1.0,0.7125502772322957,0.7226314073446882
B0,camera_crash_back_5f,car,2.0,0.8487058707226345,0.7226314073446882
B0,camera_crash_back_5f,car,4.0,0.899447477090589,0.7226314073446882
B0,camera_crash_back_5f,truck,0.5,0.6686882130434374,0.8125913310472832
B0,camera_crash_back_5f,truck,1.0,0.827838878049248,0.8125913310472832
B0,camera_crash_back_5f,truck,2.0,0.8740135748687523,0.8125913310472832
B0,camera_crash_back_5f,truck,4.0,0.8798246582276953,0.8125913310472832
B0,camera_crash_back_5f,bus,0.5,0.07078171982943225,0.4880621478170539
B0,camera_crash_back_5f,bus,1.0,0.38830238520563376,0.4880621478170539
B0,camera_crash_back_5f,bus,2.0,0.552681701984168,0.4880621478170539
B0,camera_crash_back_5f,bus,4.0,0.9404827842489816,0.4880621478170539
B0,camera_crash_back_5f,trailer,0.5,0.0,0.0
B0,camera_crash_back_5f,trailer,1.0,0.0,0.0
B0,camera_crash_back_5f,trailer,2.0,0.0,0.0
B0,camera_crash_back_5f,trailer,4.0,0.0,0.0
B0,camera_crash_back_5f,construction_vehicle,0.5,0.0,0.0
B0,camera_crash_back_5f,construction_vehicle,1.0,0.0,0.0
B0,camera_crash_back_5f,construction_vehicle,2.0,0.0,0.0
B0,camera_crash_back_5f,construction_vehicle,4.0,0.0,0.0
B0,camera_crash_back_5f,pedestrian,0.5,0.16464522770336967,0.5803677682944903
B0,camera_crash_back_5f,pedestrian,1.0,0.5235739273469068,0.5803677682944903
B0,camera_crash_back_5f,pedestrian,2.0,0.7783249102073911,0.5803677682944903
B0,camera_crash_back_5f,pedestrian,4.0,0.854927007920294,0.5803677682944903
B0,camera_crash_back_5f,motorcycle,0.5,0.2377916102311535,0.5937469375604233
B0,camera_crash_back_5f,motorcycle,1.0,0.5996538808098831,0.5937469375604233
B0,camera_crash_back_5f,motorcycle,2.0,0.7358118312728642,0.5937469375604233
B0,camera_crash_back_5f,motorcycle,4.0,0.8017304279277925,0.5937469375604233
B0,camera_crash_back_5f,bicycle,0.5,0.10601974937970099,0.3136214844141427
B0,camera_crash_back_5f,bicycle,1.0,0.31213703384683267,0.3136214844141427
B0,camera_crash_back_5f,bicycle,2.0,0.4105818772715787,0.3136214844141427
B0,camera_crash_back_5f,bicycle,4.0,0.42574727715845856,0.3136214844141427
B0,camera_crash_back_5f,traffic_cone,0.5,0.4374164026079588,0.7068487327925612
B0,camera_crash_back_5f,traffic_cone,1.0,0.7455026397145997,0.7068487327925612
B0,camera_crash_back_5f,traffic_cone,2.0,0.822045400616407,0.7068487327925612
B0,camera_crash_back_5f,traffic_cone,4.0,0.8224304882312796,0.7068487327925612
B0,camera_crash_back_5f,barrier,0.5,0.0,0.0
B0,camera_crash_back_5f,barrier,1.0,0.0,0.0
B0,camera_crash_back_5f,barrier,2.0,0.0,0.0
B0,camera_crash_back_5f,barrier,4.0,0.0,0.0
B0,camera_crash_back_10f,car,0.5,0.43426520822369646,0.7243619094491327
B0,camera_crash_back_10f,car,1.0,0.7153815517643352,0.7243619094491327
B0,camera_crash_back_10f,car,2.0,0.850276816962957,0.7243619094491327
B0,camera_crash_back_10f,car,4.0,0.897524060845542,0.7243619094491327
B0,camera_crash_back_10f,truck,0.5,0.6437621074721213,0.8040279839935834
B0,camera_crash_back_10f,truck,1.0,0.8136690423704264,0.8040279839935834
B0,camera_crash_back_10f,truck,2.0,0.8783257558873241,0.8040279839935834
B0,camera_crash_back_10f,truck,4.0,0.8803550302444623,0.8040279839935834
B0,camera_crash_back_10f,bus,0.5,0.045249334301621875,0.40085202684864063
B0,camera_crash_back_10f,bus,1.0,0.3793657667873728,0.40085202684864063
B0,camera_crash_back_10f,bus,2.0,0.4268728302328384,0.40085202684864063
B0,camera_crash_back_10f,bus,4.0,0.7519201760727294,0.40085202684864063
B0,camera_crash_back_10f,trailer,0.5,0.0,0.0
B0,camera_crash_back_10f,trailer,1.0,0.0,0.0
B0,camera_crash_back_10f,trailer,2.0,0.0,0.0
B0,camera_crash_back_10f,trailer,4.0,0.0,0.0
B0,camera_crash_back_10f,construction_vehicle,0.5,0.0,0.0
B0,camera_crash_back_10f,construction_vehicle,1.0,0.0,0.0
B0,camera_crash_back_10f,construction_vehicle,2.0,0.0,0.0
B0,camera_crash_back_10f,construction_vehicle,4.0,0.0,0.0
B0,camera_crash_back_10f,pedestrian,0.5,0.1645396429626697,0.5728090296897732
B0,camera_crash_back_10f,pedestrian,1.0,0.5048364995762842,0.5728090296897732
B0,camera_crash_back_10f,pedestrian,2.0,0.7822519047691217,0.5728090296897732
B0,camera_crash_back_10f,pedestrian,4.0,0.839608071451017,0.5728090296897732
B0,camera_crash_back_10f,motorcycle,0.5,0.2805670365543434,0.6120980179973683
B0,camera_crash_back_10f,motorcycle,1.0,0.5898520244563452,0.6120980179973683
B0,camera_crash_back_10f,motorcycle,2.0,0.759692538854438,0.6120980179973683
B0,camera_crash_back_10f,motorcycle,4.0,0.8182804721243465,0.6120980179973683
B0,camera_crash_back_10f,bicycle,0.5,0.07774601511382073,0.32335608826964185
B0,camera_crash_back_10f,bicycle,1.0,0.3399555461935211,0.32335608826964185
B0,camera_crash_back_10f,bicycle,2.0,0.4306916508383549,0.32335608826964185
B0,camera_crash_back_10f,bicycle,4.0,0.44503114093287066,0.32335608826964185
B0,camera_crash_back_10f,traffic_cone,0.5,0.5399892049145583,0.7403756849170119
B0,camera_crash_back_10f,traffic_cone,1.0,0.7905866556782327,0.7403756849170119
B0,camera_crash_back_10f,traffic_cone,2.0,0.8154634395376283,0.7403756849170119
B0,camera_crash_back_10f,traffic_cone,4.0,0.8154634395376283,0.7403756849170119
B0,camera_crash_back_10f,barrier,0.5,0.0,0.0
B0,camera_crash_back_10f,barrier,1.0,0.0,0.0
B0,camera_crash_back_10f,barrier,2.0,0.0,0.0
B0,camera_crash_back_10f,barrier,4.0,0.0,0.0
B0,compound_fog_crash_10f,car,0.5,0.4131712234067159,0.7059593651331773
B0,compound_fog_crash_10f,car,1.0,0.6812449833782719,0.7059593651331773
B0,compound_fog_crash_10f,car,2.0,0.8349357776100879,0.7059593651331773
B0,compound_fog_crash_10f,car,4.0,0.8944854761376335,0.7059593651331773
B0,compound_fog_crash_10f,truck,0.5,0.622641172205151,0.7812301490550008
B0,compound_fog_crash_10f,truck,1.0,0.7547779221956099,0.7812301490550008
B0,compound_fog_crash_10f,truck,2.0,0.8703109469457446,0.7812301490550008
B0,compound_fog_crash_10f,truck,4.0,0.8771905548734976,0.7812301490550008
B0,compound_fog_crash_10f,bus,0.5,0.04730694747034617,0.41527683820582395
B0,compound_fog_crash_10f,bus,1.0,0.38045125939460456,0.41527683820582395
B0,compound_fog_crash_10f,bus,2.0,0.42802871272930054,0.41527683820582395
B0,compound_fog_crash_10f,bus,4.0,0.8053204332290445,0.41527683820582395
B0,compound_fog_crash_10f,trailer,0.5,0.0,0.0
B0,compound_fog_crash_10f,trailer,1.0,0.0,0.0
