experiment,protocol,mAP,NDS,mATE,mASE,mAOE,mAVE,mAAE,gt,predictions_at_score_0_1,tp_at_2m,false_positive_at_2m,false_negative_at_2m,gt_recall_at_2m,precision_at_2m,matched_center_error,matched_velocity_error
B0,clean_no_corruption,0.43340972665641786,0.4823795792344935,0.6076763846119511,0.439020064442755,0.5836003487423582,0.4299176126119904,0.2830384305280994,4441,7001,3342,3659,1099,0.7525332132402612,0.47736037708898726,0.522942255481397,0.1817670727495601
B0,camera_crash_back_5f,0.42178698092706435,0.4749543942257823,0.6112706257234708,0.43813453028683824,0.5936520567343384,0.43289306146904344,0.28344068816380835,4441,6999,3347,3652,1094,0.7536590857914884,0.47821117302471783,0.526427597666351,0.17859420832210351
B0,camera_crash_back_10f,0.41778807411651525,0.47363207262501283,0.5927065448025193,0.43334599174725785,0.5993467304117368,0.4401153066521226,0.28710507071881114,4441,7049,3339,3710,1102,0.7518576897095249,0.47368421052631576,0.526534806344952,0.19020443215046423
B0,compound_fog_crash_10f,0.39128791128087814,0.4556440456408585,0.6072978880331155,0.4330520746656722,0.6272414995206006,0.44004400660825416,0.2923636311681631,4441,7059,3272,3787,1169,0.7367709975230804,0.4635217452897011,0.5436311043006737,0.19235420247576204
B0_RayDN,clean_no_corruption,0.42667146533841027,0.4783039076382982,0.6191307733674274,0.43992138812442383,0.581171571895793,0.4296264701820171,0.2804680467394082,4441,7010,3354,3656,1087,0.7552353073632064,0.47845934379457916,0.5245870332938329,0.1841776286795424
B0_RayDN,camera_crash_back_5f,0.41860352698403974,0.4726117373695365,0.6137458424121054,0.4385971680030233,0.5954987334753814,0.43692037933424843,0.2821381380000758,4441,7006,3335,3671,1106,0.7509569916685431,0.47602055381101915,0.522625504028829,0.18158944207101307
B0_RayDN,camera_crash_back_10f,0.41114180177765663,0.46891107726402687,0.6044329593588009,0.4343350931592626,0.5926206893844805,0.44883230393731816,0.28637719040815224,4441,7054,3336,3718,1105,0.7511821661787885,0.4729231641621775,0.5245263988250862,0.18772957750563268
B0_RayDN,compound_fog_crash_10f,0.3870051239684419,0.4525788552674827,0.6175007663531132,0.4340947160003936,0.6171702925638362,0.44974452251526914,0.2907267697347702,4441,7077,3271,3806,1170,0.736545823012835,0.4622014978098064,0.5434533144105986,0.19375215560950512
M1,clean_no_corruption,0.4266586297362184,0.479203528411208,0.6079415065662512,0.440930370366834,0.5698665584208409,0.4435859184924268,0.27893351072265926,4441,6957,3350,3607,1091,0.7543346093222247,0.4815293948541038,0.5312627990568994,0.17947799204967077
M1,camera_crash_back_5f,0.41302436606009396,0.4691327300866813,0.6155590996078103,0.4411848160461628,0.5920037371106862,0.44278228924267043,0.2822645874263259,4441,6955,3344,3611,1097,0.7529835622607521,0.4808051761322789,0.5300074965914168,0.18043428730489985
M1,camera_crash_back_10f,0.41115639840539187,0.46992481995309676,0.5924080354697872,0.4350206523701545,0.5942591740134548,0.44998241450964016,0.28486351613295513,4441,7021,3326,3695,1115,0.7489304210763341,0.47372169206665715,0.523226520006559,0.18636164800411376
M1,compound_fog_crash_10f,0.3906211071389113,0.4558388617599416,0.5991223827651283,0.43331164141380984,0.6193465584532265,0.4518667262585124,0.2910696092044631,4441,7035,3272,3763,1169,0.7367709975230804,0.46510305614783226,0.5484122392105136,0.19352153159957364
M1_RayDN,clean_no_corruption,0.42166578682591693,0.4750090703856339,0.6151141624581478,0.4429418501678709,0.5769402330462545,0.4406569908361432,0.28258499376482993,4441,6954,3335,3619,1106,0.7509569916685431,0.47958009778544725,0.5355905226307914,0.17883974354354623
M1_RayDN,camera_crash_back_5f,0.42164370846993426,0.4743253868026217,0.6157391213358576,0.44213210090293725,0.5830657790263033,0.43984329570977954,0.2841843773485768,4441,6961,3337,3624,1104,0.751407340689034,0.4793851458123833,0.5310473932308264,0.1808852517051378
M1_RayDN,camera_crash_back_10f,0.4092269031777588,0.46757502952595564,0.6005442338581004,0.4369933033206473,0.5994620113088698,0.44682071621837055,0.28656395592324974,4441,7049,3321,3728,1120,0.7478045485251069,0.4711306568307561,0.5247365249642187,0.18579155128241379
M1_RayDN,compound_fog_crash_10f,0.3874826557965938,0.4523488466883519,0.6103541420099194,0.4355521899736659,0.6277192309145596,0.44982519687181244,0.29047405232949347,4441,7031,3270,3761,1171,0.7363206485025895,0.4650832029583274,0.5504082351002413,0.19639135192608617
