experiment,protocol,mATE,mASE,mAOE,mAVE,mAAE,matched_center_error,matched_velocity_error
B0,clean_no_corruption,0.6076763846119511,0.439020064442755,0.5836003487423582,0.4299176126119904,0.2830384305280994,0.522942255481397,0.1817670727495601
B0,camera_crash_back_5f,0.6112706257234708,0.43813453028683824,0.5936520567343384,0.43289306146904344,0.28344068816380835,0.526427597666351,0.17859420832210351
B0,camera_crash_back_10f,0.5927065448025193,0.43334599174725785,0.5993467304117368,0.4401153066521226,0.28710507071881114,0.526534806344952,0.19020443215046423
B0,compound_fog_crash_10f,0.6072978880331155,0.4330520746656722,0.6272414995206006,0.44004400660825416,0.2923636311681631,0.5436311043006737,0.19235420247576204
B0_RayDN,clean_no_corruption,0.6191307733674274,0.43992138812442383,0.581171571895793,0.4296264701820171,0.2804680467394082,0.5245870332938329,0.1841776286795424
B0_RayDN,camera_crash_back_5f,0.6137458424121054,0.4385971680030233,0.5954987334753814,0.43692037933424843,0.2821381380000758,0.522625504028829,0.18158944207101307
B0_RayDN,camera_crash_back_10f,0.6044329593588009,0.4343350931592626,0.5926206893844805,0.44883230393731816,0.28637719040815224,0.5245263988250862,0.18772957750563268
B0_RayDN,compound_fog_crash_10f,0.6175007663531132,0.4340947160003936,0.6171702925638362,0.44974452251526914,0.2907267697347702,0.5434533144105986,0.19375215560950512
M1,clean_no_corruption,0.6079415065662512,0.440930370366834,0.5698665584208409,0.4435859184924268,0.27893351072265926,0.5312627990568994,0.17947799204967077
M1,camera_crash_back_5f,0.6155590996078103,0.4411848160461628,0.5920037371106862,0.44278228924267043,0.2822645874263259,0.5300074965914168,0.18043428730489985
M1,camera_crash_back_10f,0.5924080354697872,0.4350206523701545,0.5942591740134548,0.44998241450964016,0.28486351613295513,0.523226520006559,0.18636164800411376
M1,compound_fog_crash_10f,0.5991223827651283,0.43331164141380984,0.6193465584532265,0.4518667262585124,0.2910696092044631,0.5484122392105136,0.19352153159957364
M1_RayDN,clean_no_corruption,0.6151141624581478,0.4429418501678709,0.5769402330462545,0.4406569908361432,0.28258499376482993,0.5355905226307914,0.17883974354354623
M1_RayDN,camera_crash_back_5f,0.6157391213358576,0.44213210090293725,0.5830657790263033,0.43984329570977954,0.2841843773485768,0.5310473932308264,0.1808852517051378
M1_RayDN,camera_crash_back_10f,0.6005442338581004,0.4369933033206473,0.5994620113088698,0.44682071621837055,0.28656395592324974,0.5247365249642187,0.18579155128241379
M1_RayDN,compound_fog_crash_10f,0.6103541420099194,0.4355521899736659,0.6277192309145596,0.44982519687181244,0.29047405232949347,0.5504082351002413,0.19639135192608617
